	index	ID#	Extinction_Index_x	Extinction_Index_y	Ra(deg)	Dec(deg)	Rotation_Measure(rad/m2)	RM_Err(rad/m2)	RA_inExtincFile(degree)	Dec_inExtincFile(degree)	Extinction_Value	Error_Range(pix)	Min_Extinction_Value	Min_Extinction_Ra	Min_Extinction_Dec	Max_Extinction_Value	Max_Extinction_RA	Max_Extinction_dec	Extinction_Observed
14	16	231	1013	508	50.0465	33.35033333333333	22.6	1.3	50.04537206130562	33.351127306060995	0.7669630646705627	2.0	0.33790335059165955	49.99766802289289	33.29654846275485	1.2457669973373413	50.05427975281516	33.303069590149825	True
15	17	226	1023	494	49.837125	32.988972222222216	34.6	6.9	49.82569875830549	32.98239956136139	0.7855113744735718	2.0	0.036946713924407966	49.87751721965692	33.012919955902255	1.6724823713302612	49.760386577295066	33.023783283987306	True
16	19	254	831	509	55.291625	33.87280555555556	56.5	19.2	55.30261124889003	33.86670275648393	0.794516921043396	2.0	0.327908992767334	55.243796601310436	33.862468270842015	1.5094616413116455	55.33772835305051	33.8197740966069	True
17	20	244	912	255	53.787	27.56016666666667	17.6	9.0	53.78193268369921	27.569586301235645	0.7964388132095337	2.0	0.20196285843849185	53.748863286142594	27.61487600676126	1.37767231464386	53.835733896755464	27.573601348511176	True
18	21	96	967	335	52.016070000000006	29.34535	6.031395400000001	2.3368716	52.0237660453959	29.343567080104588	0.8024978637695312	2.0	0.6290010213851929	52.020102779878854	29.36734644258761	2.118580818176269	52.05830718343292	29.29850198302337	True
19	22	68	990	330	51.42660000000001	29.16646	22.081966	1.5264218	51.4180425127815	29.166353686619612	0.804385781288147	2.0	0.616728663444519	51.44511078036204	29.168946736329666	2.2301571369171143	51.410382444294434	29.213756429810022	True
20	23	222	1030	502	49.57920833333333	33.14927777777777	55.2	12.3	49.59232032403679	33.15102097187816	0.8358896970748901	2.0	0.07648235559463501	49.657773398901995	33.10974772050793	1.2209064960479736	49.57333225850903	33.09975508763093	True
21	24	247	884	330	54.31829166666667	29.42027777777778	-6.5	16.3	54.31723884805426	29.41246588182753	0.8481822609901428	2.0	0.08842667937278748	54.375456363414315	29.39256256894157	2.2603955268859863	54.268032564084436	29.360447242311	True
22	25	188	896	372	53.86513000000002	30.39887	45.85872	0.95408154	53.854707658624235	30.39585056319278	0.8503050804138184	2.0	0.5553085207939148	53.85787724176887	30.37178502277214	2.130123376846313	53.90420984607705	30.44839784360667	True
23	26	256	815	518	55.75358333333333	34.109472222222216	138.1	11.0	55.74929642017381	34.120621240777375	0.8511877059936523	2.0	0.8511877059936523	55.74929642017381	34.120621240777375	1.9664977788925169	55.71424763736525	34.167726593837905	True
24	27	4	1020	450	50.115809999999996	31.94413	44.810696	1.048052	50.10443572368106	31.938475161780076	0.8720928430557251	2.0	0.7897577285766602	50.1322510561965	31.94158843269896	1.6868023872375488	50.072261759026524	31.95926157660134	True
25	29	246	902	225	54.13083333333334	26.872694444444445	39.2	18.6	54.14037805158965	26.88093206922544	0.9095923900604248	2.0	0.053239792585372925	54.196744749820546	26.861149893638608	1.35232412815094	54.08992536680395	26.85357851033505	True
26	31	70	989	329	51.46178000000001	29.14597	14.550175	0.74498224	51.448929792556	29.14524700239469	0.9311642646789552	2.0	0.616728663444519	51.44511078036204	29.168946736329666	2.3683881759643555	51.40247591675782	29.092682622505627	True
27	32	17	1002	455	50.59103000000001	32.10835	34.036564	3.3378282	50.58503941694767	32.11350796441681	0.9319931268692015	2.0	0.7830932140350342	50.52910891909458	32.107434138158325	1.5857471227645874	50.604575432591616	32.164493583077785	True
28	34	233	1023	246	50.86670833333334	27.10011111111111	26.0	15.0	50.862228382958925	27.10669661014236	0.9695353507995604	2.0	0.3408331871032715	50.85446018747942	27.15335528626498	1.5590544939041138	50.914754831822464	27.11170532834518	True
29	35	235	988	285	51.64816666666667	28.10766666666667	46.8	10.2	51.64148817408996	28.108010087090047	0.9781103134155272	2.0	0.08736655116081238	51.702366029334	28.06579088760257	1.9810221195220947	51.59547457047102	28.0559793085615	True
30	37	5	1018	443	50.186209999999996	31.76695	54.01694499999999	0.62202483	50.19038981876929	31.77734914481436	0.9868234395980836	2.0	0.545486330986023	50.16262333207293	31.77426352681863	1.6637732982635498	50.1947102409388	31.75345052510222	True
