ID#	Ra(deg)	Dec(deg)	RM_Raw_Value	RM_Raw_Err	Scaled_RM	TotalRMScaledErrWithStDev	TotalRMScaledErrWithAvgErr	Extinction	Scaled_Extinction	eAbundance	Raw_Magnetic_FieldMagnetic_Field(uG)	Magnetic_Field(uG)	Reference_BField_RMErr(±)	BField_of_Min_Extinction	BField_of_Max_Extinction
0	47.23883333333333	31.73186111111111	-7.0	4.5	-44.1764705882353	15.389898616080506	15.441176470588236	0.9513074159622192	0.4260605450938729	0.000132	-206.9646708141388	-1306.1383847178004	839.6603901757288	-2401.994268650279	-813.2325498967016
1	47.353	27.64227777777777	-13.8	17.1	-50.9764705882353	27.98989861608051	28.041176470588237	2.101512908935547	1.5762660380672004	0.00011279999999999999	-117.2314689366301	-433.0468498741843	536.6015313658371	-938.5484480114173	-365.4444981966279
2	47.36483333333333	28.66341666666667	0.9	13.6	-36.2764705882353	24.489898616080506	24.541176470588233	1.497986078262329	0.9727392073939828	0.0001244	11.955349522920729	-481.88653926700744	-7281.841037812556	-1035.4941953901193	-407.60893678090844
3	47.522125	32.94080555555555	-25.2	15.4	-62.37647058823529	26.289898616080507	26.341176470588238	1.8153754472732544	1.290128576404908	0.00011279999999999999	-259.7543017152956	-642.95859369491	392.91914059133387	-1786.6448634285366	-575.4920141946012
5	47.86483333333333	32.60494444444445	-35.9	16.1	-73.0764705882353	26.98989861608051	27.041176470588237	1.2096152305603027	0.6843683596919564	0.000132	-660.8060669089145	-1345.1079418662046	603.2378235110277	-1625.5221545011989	-861.5902349311169
6	47.89654166666666	30.72247222222222	9.9	10.0	-27.2764705882353	20.889898616080508	20.941176470588236	1.5129951238632202	0.9877482529948739	0.0001244	129.52639176601772	-356.87099145515407	-360.47574894460007	-459.6707098159267	-299.2133238629241
7	47.94004166666666	30.10538888888889	14.8	14.4	-22.376470588235296	25.289898616080507	25.341176470588238	1.3675172328948977	0.8422703620265514	0.0001244	226.76963403541555	-342.8583815066458	-333.5919387632229	-544.0897754652954	-238.53868192173732
8	47.95595833333334	28.514444444444447	0.6	8.9	-36.576470588235296	19.789898616080507	19.841176470588238	1.3069404363632202	0.7816935654948739	0.0001244	9.898670448512704	-603.4307142044313	-8950.888927365731	-913.0157257543245	-393.69575159597906
9	48.065583333333336	31.44505555555555	-4.7	12.3	-41.8764705882353	23.189898616080505	23.241176470588236	1.0133488178253174	0.48810194695697107	0.000132	-121.29888636010458	-1080.7594142648118	2828.3703820121673	-2276.937043744519	-609.3898699925451
10	48.13691666666666	26.24505555555556	-24.0	7.3	-61.1764705882353	18.189898616080505	18.241176470588236	0.9853442907333374	0.4600974198649911	0.000132	-657.0992017035072	-1674.9587494403127	509.4666196214284	-3326.3302788232895	-635.9439549688544
11	48.393125	29.03183333333333	-4.0	10.9	-41.1764705882353	21.789898616080507	21.841176470588238	1.6590343713760376	1.1337875005076912	0.0001244	-45.639581404428085	-469.8192203397009	1280.257375425685	-955.4462226530488	-419.34850952266527
12	48.42104166666667	30.383305555555552	11.5	12.4	-25.676470588235297	23.289898616080507	23.341176470588238	2.1876976490020748	1.6624507781337283	9.739e-05	95.39562140115564	-212.99329279593064	-229.66233310169912	-975.2733867709277	-186.7377793711646
13	48.43600000000001	30.37833333333333	4.8	7.6	-32.3764705882353	18.489898616080506	18.541176470588233	1.3500492572784424	0.8248023864100961	0.0001244	75.0897385565332	-506.48764830289076	-801.938776479577	-516.6645785437657	-235.46500290008936
14	48.506625	30.51427777777777	10.9	7.1	-26.2764705882353	17.989898616080506	18.041176470588233	1.5849263668060305	1.0596794959376843	0.0001244	133.00109893052692	-320.62380405972146	-208.84669805724977	-1428.7228226445802	-180.1800500176453
15	48.70745833333334	29.749666666666666	43.0	5.7	5.823529411764703	16.589898616080507	16.641176470588235	1.4684799909591677	0.9432331200908214	0.0001244	588.9198554617573	79.75795580125026	10.57256623411922	96.81293361440305	45.038084850442395
16	48.742875	26.61330555555556	1.1	5.7	-36.076470588235296	16.589898616080507	16.641176470588235	1.2369136810302734	0.7116668101619271	0.0001244	19.913650239825827	-653.1038338013465	-3384.265320606977	-749.4525890018675	-480.3713084030798
17	48.93854166666666	31.944527777777783	40.7	10.1	3.523529411764706	20.989898616080506	21.041176470588233	1.6690962314605713	1.1438493605922249	0.0001244	460.3258151258402	39.85188080074841	9.889533073404396	63.48918511445677	38.7038085118084
18	48.966875	32.10413888888889	4.3	13.3	-32.8764705882353	24.189898616080505	24.241176470588236	2.0306134223937993	1.5053665515254528	0.00011279999999999999	38.192857933659944	-292.0107838457257	-903.1961453832912	-1221.0895714193123	-278.72308814366073
19	49.076541666666664	32.07861111111111	14.0	11.3	-23.176470588235297	22.189898616080505	22.241176470588236	1.6251760721206665	1.09992920125232	0.0001244	164.62059073072206	-272.5231628063214	-219.96512426510228	-1260.1674325542078	-172.38311604377444
20	49.090125	31.410666666666664	17.3	12.0	-19.876470588235296	22.889898616080508	22.941176470588236	1.11791729927063	0.5926704284022838	0.000132	367.70737493283434	-422.4696429439127	-293.04252689751166	-1080.7375011676822	-390.86835469441434
21	49.15108333333333	27.650666666666666	-15.7	13.2	-52.87647058823529	24.089898616080504	24.141176470588235	1.4511916637420654	0.9259447928737191	0.0001244	-219.00499103379065	-737.5930552277049	620.1419317838029	-1372.595361434986	-633.7328927213047
22	49.226333333333336	34.62075	19.3	1.8	-17.876470588235296	12.689898616080507	12.741176470588236	1.6967194080352783	1.171472537166932	0.00011279999999999999	218.25075681385061	-202.1530173597355	-18.85364928743647	-510.04837174076056	-202.1530173597355
23	49.34154166666666	29.07830555555556	9.1	11.5	-28.076470588235296	22.389898616080508	22.441176470588236	1.4380509853363037	0.9128041144679574	0.0001244	128.75093211653908	-397.238654810757	-502.00489344216544	-1203.479912061875	-271.15480478940094
24	49.38325	32.15488888888889	2.7	13.9	-34.476470588235294	24.789898616080507	24.841176470588238	1.8986841440200808	1.3734372731517346	0.00011279999999999999	26.202943743892344	-334.5870441894401	-1722.5036719382288	-609.4933732051559	-334.5870441894401
25	49.57920833333333	33.14927777777777	55.2	12.3	18.023529411764706	23.189898616080505	23.241176470588236	0.8358896970748901	0.3106428262065438	0.000132	2238.449209593718	730.8832457582216	162.85985367438633	730.8832457582216	503.74483211624215
26	49.6125	28.43994444444445	20.6	11.4	-16.576470588235296	22.289898616080507	22.341176470588238	2.10375452041626	1.5785076495479138	0.00011279999999999999	174.7569434431229	-140.6239482075158	-77.82101988182913	-259.4708939768478	-113.97569564667405
27	49.646	28.26688888888889	22.0	3.4	-15.176470588235297	14.289898616080507	14.341176470588236	3.116730213165283	2.5914833422969368	6.162e-05	131.2888182844345	-90.56822223899495	-13.99690707329922	-114.61035325599458	-79.42165109135586
28	49.65879166666666	28.255055555555554	9.1	3.3	-28.076470588235296	14.189898616080505	14.241176470588236	3.496593475341797	2.9713466044734504	6.162e-05	49.147605449761336	-151.63640647169416	-54.989026522702275	-169.91305510547798	-142.68732616831295
30	49.837125	32.988972222222216	34.6	6.9	-2.5764705882352956	17.789898616080507	17.841176470588238	0.7855113744735718	0.26026450360522546	0.000132	1674.675450622969	-124.70381628236328	-24.868680125673603	-140.08967905044244	-35.160483449326584
31	49.850375	31.028722222222218	62.3	9.6	25.1235294117647	20.489898616080506	20.541176470588233	1.306603193283081	0.7813563224147347	0.0001244	1028.2511252902248	414.65966916387015	63.89619300117421	709.5650550916935	324.62790048597947
32	49.90941666666666	29.141277777777773	26.4	5.3	-10.776470588235298	16.189898616080505	16.241176470588236	2.826709270477295	2.3014623996089485	7.961e-05	168.82081828149518	-68.9125978368314	-13.834726080879031	-91.697562136673	-68.9125978368314
33	49.925625	30.69058333333333	40.5	12.5	3.323529411764703	23.389898616080508	23.441176470588236	1.8474135398864744	1.3221666690181282	0.00011279999999999999	407.72111904193235	33.45859582551802	10.326727106641362	180.70928918607277	33.45859582551802
