ID#	Ra(deg)	Dec(deg)	RM_Raw_Value	RM_Raw_Err	Scaled_RM	TotalRMScaledErrWithStDev	TotalRMScaledErrWithAvgErr	Extinction	Scaled_Extinction	eAbundance	Raw_Magnetic_FieldMagnetic_Field(uG)	Magnetic_Field(uG)	Reference_BField_RMErr(±)	BField_of_Min_Extinction	BField_of_Max_Extinction
0	47.23883333333333	31.73186111111111	-7.0	4.5	-44.1764705882353	15.389898616080506	15.441176470588236	0.9513074159622192	0.4260605450938729	0.00013659999999999999	-204.13813423031252	-1288.3003261089473	828.1930667843233	-4419.652594289518	-789.1065397145599
1	47.353	27.64227777777777	-13.8	17.1	-50.9764705882353	27.98989861608051	28.041176470588237	2.101512908935547	1.5762660380672004	0.0001238	-112.68188486451741	-416.2409267842745	515.7768005805141	-931.0909037653253	-345.04632366922624
2	47.36483333333333	28.66341666666667	0.9	13.6	-36.2764705882353	24.489898616080506	24.541176470588233	1.497986078262329	0.9727392073939828	0.000132	11.646095128186364	-469.4213637616034	-7093.478385730896	-1021.4263292478656	-390.2020074704401
3	47.522125	32.94080555555555	-25.2	15.4	-62.37647058823529	26.289898616080507	26.341176470588238	1.8153754472732544	1.290128576404908	0.0001284	-248.337699350647	-614.6995714085576	375.6497380830075	-1762.359829880126	-552.7820835951704
5	47.86483333333333	32.60494444444445	-35.9	16.1	-73.0764705882353	26.98989861608051	27.041176470588237	1.2096152305603027	0.6843683596919564	0.0001347	-655.5565855141413	-1334.4223270264094	598.4456675522339	-1604.1547611530766	-839.8641648995011
6	47.89654166666666	30.72247222222222	9.9	10.0	-27.2764705882353	20.889898616080508	20.941176470588236	1.5129951238632202	0.9877482529948739	0.000132	126.18717749970816	-347.6707914831532	-351.18261765975075	-445.87738129178473	-286.3282550351824
7	47.94004166666666	30.10538888888889	14.8	14.4	-22.376470588235296	25.289898616080507	25.341176470588238	1.3675172328948977	0.8422703620265514	0.0001347	219.889184795577	-332.4556673141395	-323.4703790083519	-536.8588978940236	-228.16735183883284
8	47.95595833333334	28.514444444444447	0.6	8.9	-36.576470588235296	19.789898616080507	19.841176470588238	1.3069404363632202	0.7816935654948739	0.0001347	9.600874672235346	-585.2768501172488	-8681.606610072526	-900.8405756118092	-376.63304748939464
9	48.065583333333336	31.44505555555555	-4.7	12.3	-41.8764705882353	23.189898616080505	23.241176470588236	1.0133488178253174	0.48810194695697107	0.00013659999999999999	-119.67417240324933	-1066.2833959183129	2790.4863339989893	-3099.4356660836097	-593.289901266045
10	48.13691666666666	26.24505555555556	-24.0	7.3	-61.1764705882353	18.189898616080505	18.241176470588236	0.9853442907333374	0.4600974198649911	0.00013659999999999999	-648.225625346427	-1652.3398293144219	502.58669808313664	-6108.669672605289	-608.0678815154479
11	48.393125	29.03183333333333	-4.0	10.9	-41.1764705882353	21.789898616080507	21.841176470588238	1.6590343713760376	1.1337875005076912	0.0001284	-44.70624041353435	-460.21129837461837	1254.0757880708352	-942.8227824005037	-400.84804693105656
12	48.42104166666667	30.383305555555552	11.5	12.4	-25.676470588235297	23.289898616080507	23.341176470588238	2.1876976490020748	1.6624507781337283	0.00011810000000000001	89.7784699086382	-200.45167322312318	-216.13919547536761	-957.0439776724057	-176.2853092052213
13	48.43600000000001	30.37833333333333	4.8	7.6	-32.3764705882353	18.489898616080506	18.541176470588233	1.3500492572784424	0.8248023864100961	0.0001347	72.81670019825579	-491.15578172941173	-777.6633210715686	-501.0601119255767	-222.28507259233402
14	48.506625	30.51427777777777	10.9	7.1	-26.2764705882353	17.989898616080506	18.041176470588233	1.5849263668060305	1.0596794959376843	0.000132	129.6234244660193	-312.4812936263941	-203.54286098599982	-2628.8399652052303	-170.20765638651042
15	48.70745833333334	29.749666666666666	43.0	5.7	5.823529411764703	16.589898616080507	16.641176470588235	1.4684799909591677	0.9432331200908214	0.000132	573.5802709716266	77.68050181421478	10.29718279862847	93.90305120991648	42.29196499547997
16	48.742875	26.61330555555556	1.1	5.7	-36.076470588235296	16.589898616080507	16.641176470588235	1.2369136810302734	0.7116668101619271	0.0001347	19.321546296027233	-633.6847242435027	-3283.639025625423	-739.6781914650667	-467.9387049807323
17	48.93854166666666	31.944527777777783	40.7	10.1	3.523529411764706	20.989898616080506	21.041176470588233	1.6690962314605713	1.1438493605922249	0.0001284	450.9926086179374	39.04387520770985	9.689020628940282	61.60024956623915	37.03786674950349
18	48.966875	32.10413888888889	4.3	13.3	-32.8764705882353	24.189898616080505	24.241176470588236	2.0306134223937993	1.5053665515254528	0.0001238	36.69743675313167	-280.5772558320833	-867.831977341095	-1198.2654672806336	-267.91052001831076
19	49.076541666666664	32.07861111111111	14.0	11.3	-23.176470588235297	22.189898616080505	22.241176470588236	1.6251760721206665	1.09992920125232	0.000132	160.4717504576981	-265.65491462324815	-214.4214668030503	-2318.6992305593476	-162.69121712959432
20	49.090125	31.410666666666664	17.3	12.0	-19.876470588235296	22.889898616080508	22.941176470588236	1.11791729927063	0.5926704284022838	0.00013659999999999999	362.8993438148498	-416.94555686854045	-289.21079089147315	-1988.5494162588923	-387.5720973460891
21	49.15108333333333	27.650666666666666	-15.7	13.2	-52.87647058823529	24.089898616080504	24.141176470588235	1.4511916637420654	0.9259447928737191	0.000132	-213.2763872765103	-718.2995298720685	603.9206238414844	-1354.195978746512	-617.6986401245084
22	49.226333333333336	34.62075	19.3	1.8	-17.876470588235296	12.689898616080507	12.741176470588236	1.6967194080352783	1.171472537166932	0.0001284	208.95153517672207	-193.53968771778676	-18.050333569534516	-503.11948330540554	-193.53968771778676
23	49.34154166666666	29.07830555555556	9.1	11.5	-28.076470588235296	22.389898616080508	22.441176470588236	1.4380509853363037	0.9128041144679574	0.000132	125.37197906295849	-386.8134816208797	-488.8302240263864	-1180.9849604345504	-260.3501007523711
24	49.38325	32.15488888888889	2.7	13.9	-34.476470588235294	24.789898616080507	24.841176470588238	1.8986841440200808	1.3734372731517346	0.0001238	25.157734858865805	-321.24070589937355	-1653.7947451856637	-591.3143660526999	-321.24070589937355
25	49.57920833333333	33.14927777777777	55.2	12.3	18.023529411764706	23.189898616080505	23.241176470588236	0.8358896970748901	0.3106428262065438	0.0001381	2196.60903745178	717.2218766786287	159.81574425991184	717.2218766786287	496.92209442836406
26	49.6125	28.43994444444445	20.6	11.4	-16.576470588235296	22.289898616080507	22.341176470588238	2.10375452041626	1.5785076495479138	0.0001238	167.97670489922055	-135.1680052558548	-74.80171164644392	-251.61698644683165	-107.66429048416538
27	49.646	28.26688888888889	22.0	3.4	-15.176470588235297	14.289898616080507	14.341176470588236	3.116730213165283	2.5914833422969368	9.435e-05	117.98141075515224	-81.38824592200343	-12.578183460673257	-107.54475740177864	-70.28127574486052
28	49.65879166666666	28.255055555555554	9.1	3.3	-28.076470588235296	14.189898616080505	14.241176470588236	3.496593475341797	2.9713466044734504	7.534e-05	44.60727357834943	-137.62800051031795	-49.9090551301153	-157.33188799657458	-123.8552988013347
30	49.837125	32.988972222222216	34.6	6.9	-2.5764705882352956	17.789898616080507	17.841176470588238	0.7855113744735718	0.26026450360522546	0.0001381	1643.3731057515117	-122.37290382848734	-24.40384498313765	-257.7640261383236	-34.24541018972209
31	49.850375	31.028722222222218	62.3	9.6	25.1235294117647	20.489898616080506	20.541176470588233	1.306603193283081	0.7813563224147347	0.0001347	997.3183682205787	402.1855113464348	61.97401137922591	699.9401061653585	316.2818836725744
