ID#	Ra(deg)	Dec(deg)	Extinction	Magnetic_Field(uG)	TotalUpperBUncertainty	TotalLowerBUncertainty
113	52.29434000000002	31.53165	6.927295684814452	11.901810027716985	33	33
114	52.29890000000002	31.00102	3.3742024898529053	67.53406048402091	57	55
115	52.33462000000002	31.11236	4.0688066482543945	23.60392923310295	39	38
116	52.37863000000001	31.36905	4.973970890045166	140.35749058682427	61	50
117	52.49627	30.6062	2.80450439453125	-39.71620575229059	56	62
118	52.49979000000002	30.6105	2.6438422203063965	-31.31644501464968	55	58
119	52.51526000000001	30.54888	3.737828254699707	-91.17757038114159	50	100
120	52.51596000000002	30.55472	3.737828254699707	-104.5901316954847	52	113
121	52.52029000000001	31.19632	2.9040842056274414	-122.43864963309771	68	168
122	52.52152	30.551440000000003	3.737828254699707	-45.39712990507973	38	58
123	52.52382000000001	30.603920000000002	2.3862595558166504	-46.260659338438785	64	93
124	52.53309000000001	30.548029999999997	3.7501380443573	-25.853629602763313	34	42
125	52.537940000000006	30.54715	3.7501380443573	-24.521651087288863	34	41
126	52.54026	31.4094	2.050169944763184	-310.8919496110604	121	87
127	52.57639000000001	30.92626	1.8935058116912842	-374.5563303843207	223	158
128	52.58012	31.77265	2.7736427783966064	-199.52935279974457	86	283
129	52.60245000000001	31.7878	2.980852127075196	-142.33656493661238	60	223
130	52.65380000000001	31.87367	2.556478500366211	-276.4186971955676	103	501
131	52.66157000000001	31.51275	2.186198472976685	-183.89458625679	90	93
132	52.67073000000002	30.19187	0.7857041358947754	-416.73855112631384	550	431
133	52.74033000000002	31.568009999999997	3.2389278411865234	-32.916884291869174	57	60
134	52.75047000000001	31.368129999999997	1.928282618522644	-148.83011602056519	95	413
135	52.79483000000002	31.65152	3.6945583820343018	-147.70150895208866	50	93
136	52.79718000000001	32.05842	1.4910933971405032	-197.7897761333456	156	139
137	52.80512	31.9214	1.653225302696228	89.18198069024035	81	86
138	52.82475000000001	30.79208	2.852445602416992	82.7257002883855	82	54
139	52.82956000000001	30.79073	1.821968674659729	135.69040089005	99	108
140	52.84279000000002	31.05725	1.9458383321762085	-109.94068897410851	90	319
141	52.88883000000001	31.852959999999996	1.639056921005249	153.76005899109228	118	117
142	52.90963000000002	31.907290000000003	1.993356466293335	21.87173468211213	76	74
143	52.91336	30.67597	2.1243054866790767	-76.91488866094754	73	65
144	52.914350000000006	30.67189	2.1243054866790767	-66.90980985620833	66	65
145	52.91863000000002	30.67545	2.1243054866790767	-75.22089025338722	72	64
146	52.97608000000001	31.07814	2.19769549369812	-301.54026909869464	148	127
147	53.03296000000001	30.43473	1.7818940877914429	58.56171061806859	112	111
148	53.04498000000001	30.66222	2.2580280303955083	55.22673537983143	79	75
149	53.06639000000002	31.75768	1.784237027168274	118.56406823608351	86	91
150	53.07485000000001	31.75597	1.6916640996932983	107.98780496110008	100	89
151	53.105150000000016	31.086759999999998	3.457828998565674	44.320526122831325	50	38
152	53.14973000000002	31.8378	1.7315526008605957	352.5598932985975	581	117
153	53.16704000000002	31.8621	1.4972474575042725	300.4228927283113	449	122
154	53.16751000000001	31.853009999999998	1.4972474575042725	310.5388060522853	464	124
155	53.16795000000001	31.833779999999997	1.6749823093414309	179.49809247367318	272	110
156	53.17493000000002	30.33564	2.270000457763672	-38.31197466683388	53	54
157	53.17950000000001	31.84918	1.4972474575042725	376.83897369058093	562	146
158	53.189960000000006	31.413079999999997	3.900543451309204	34.569461599041446	52	50
159	53.22401000000001	31.720340000000004	2.1664698123931885	61.981294879498904	89	58
160	53.25366000000001	31.338440000000002	5.3209757804870605	-104.41455891401695	46	50
