raHours	raMins	raSecs	raErrSecs	decDegs	decArcmins	decArcsecs	decErrArcsecs	longitudeDegs	latitudeDegs	nvssStokesIs	stokesIErrs	AvePeakPIs	PIErrs	polarizationPercents	mErrPercents	rotationMeasures	RMErrs
3.0	23.0	20.512800000002326	1.0	32.0	9.0	51.192000000000924	1.0	156.7334683584185	-20.55693279069987	0.16074000000000002	8.995e-05	0.0034559100000000004	8.995e-05	0.0215	0.01	82.65	0.2
3.0	23.0	25.01520000000326	1.0	30.0	1.0	8.112000000004969	1.0	158.103518359357	-22.28205789658141	0.010209999999999999	3.503e-05	0.000384917	3.503e-05	0.0377	0.01	19.27	1.82
3.0	23.0	26.548800000001908	1.0	29.0	2.0	49.23600000000079	1.0	158.7338186229809	-23.060770293051032	0.00109	3.003e-05	0.000246994	3.003e-05	0.2266	0.01	60.95	2.87
3.0	23.0	26.86800000000176	1.0	29.0	22.0	48.28799999999831	1.0	158.51967405612962	-22.792371091067253	0.040310000000000006	4.409000000000001e-05	0.001668834	4.409000000000001e-05	0.0414	0.01	12.85	0.42
3.0	23.0	29.385600000001947	1.0	29.0	17.0	7.8720000000063814	1.0	158.58865488156377	-22.86296194668395	0.04933	4.204e-05	0.0009422030000000001	4.204e-05	0.0191	0.01	0.84	0.75
3.0	23.0	35.16240000000195	1.0	28.0	56.0	43.15199999999579	1.0	158.8270999403048	-23.12372589756457	0.00179	6.032e-05	0.0004992309999999999	6.032e-05	0.2789	0.01	32.42	2.06
3.0	23.0	37.23120000000165	1.0	30.0	4.0	35.36399999999901	1.0	158.10503551561246	-22.209576373789353	0.01261	4.116e-05	0.0007427289999999999	4.116e-05	0.0589	0.01	29.53	0.96
3.0	23.0	37.87440000000202	1.0	29.0	34.0	34.536000000004776	1.0	158.42810151825128	-22.610866559839987	0.01898	3.447e-05	0.00040807	3.447e-05	0.0215	0.01	17.02	1.74
3.0	23.0	45.23760000000337	1.0	31.0	44.0	59.17200000000577	1.0	157.0688486288546	-20.84150583744316	0.00519	3.544e-05	0.000533532	3.544e-05	0.1028	0.01	31.82	1.31
3.0	23.0	46.27200000000258	1.0	29.0	23.0	3.155999999998187	1.0	158.5784286915046	-22.747146666721505	0.00454	3.138e-05	0.0005675	3.138e-05	0.125	0.01	16.06	1.22
3.0	23.0	53.635200000002214	1.0	31.0	45.0	17.424000000005435	1.0	157.09142203396382	-20.81992275242125	0.0028699999999999997	3.107e-05	0.00025830000000000004	3.107e-05	0.09	0.01	22.94	2.6
3.0	23.0	54.48720000000279	1.0	28.0	54.0	13.356000000000849	1.0	158.9155883658124	-23.115052672270277	0.00974	4.092e-05	0.000343822	4.092e-05	0.0353	0.01	56.17	2.09
