raHours	raMins	raSecs	raErrSecs	decDegs	decArcmins	decArcsecs	decErrArcsecs	longitudeDegs	latitudeDegs	nvssStokesIs	stokesIErrs	AvePeakPIs	PIErrs	polarizationPercents	mErrPercents	rotationMeasures	RMErrs
0.0	13.0	41.36086376497733	0.0	-30.0	9.0	20.527895828526823	0.0	10.630439058728905	-81.18543246062363	0.8100000023841858	0.019999999552965164	0.021800000220537186	0.008100000210106373	2.700000047683716	1.0	-9.199999809265137	1.2999999523162842
0.0	20.0	23.04378697711421	0.0	-20.0	28.0	45.84729640984449	0.0	74.40909604224497	-80.27590016851491	1.1299999952316284	0.009999999776482582	0.058200001716613776	0.003899999894201757	5.199999809265137	0.30000001192092896	-7.300000190734862	0.30000001192092896
0.0	20.0	26.6653802383361	0.0	-20.0	13.0	51.247290976354236	0.0	75.4968386737712	-80.10968478097186	2.190000057220459	0.009999999776482582	0.039500001817941666	0.006599999964237213	1.7999999523162842	0.30000001192092896	-20.799999237060547	0.6000000238418579
0.0	21.0	14.766152286288659	0.0	-19.0	10.0	37.927218762928305	0.0	80.26283627321308	-79.45235811822226	3.9000000953674316	0.009999999776482582	0.15029999613761902	0.007799999788403511	3.9000000953674316	0.20000000298023224	9.0	0.20000000298023224
0.0	39.0	8.711113561798385	0.0	-24.0	24.0	49.325585101413196	0.0	76.70039819215054	-86.12376824461752	0.9900000095367432	0.009999999776482582	0.02950000017881393	0.003800000064074993	3.0	0.4000000059604645	15.800000190734865	0.4000000059604645
1.0	47.0	11.343878509496506	0.0	-22.0	32.0	46.31915110923359	0.0	196.05563487752403	-76.55744014047542	1.5800000429153442	0.009999999776482582	0.03390000015497208	0.006500000134110451	2.0999999046325684	0.4000000059604645	13.100000381469727	0.699999988079071
2.0	17.0	25.86147469797595	0.0	-22.0	42.0	1.4362815853363031	0.0	204.8616332918095	-70.033769107878	0.4099999964237213	0.009999999776482582	0.02610000036656856	0.004600000102072954	6.4000000953674325	1.100000023841858	13.100000381469727	0.6000000238418579
2.0	35.0	10.955276810620092	0.0	-29.0	36.0	17.994624169430438	0.0	225.26522776462684	-67.09183868132925	0.6700000166893005	0.009999999776482582	0.045800000429153435	0.002199999988079071	6.800000190734862	0.30000001192092896	7.800000190734862	0.20000000298023224
2.0	36.0	59.994441838550614	0.0	-28.0	34.0	17.754456143823063	0.0	222.65996745000191	-66.668398976237	0.6899999976158142	0.009999999776482582	0.03539999946951866	0.002499999944120645	5.099999904632568	0.4000000059604645	9.0	0.30000001192092896
2.0	38.0	49.117458148576816	0.0	-22.0	33.0	8.634288337901523	0.0	208.217223139382	-65.26232543510287	0.8999999761581421	0.009999999776482582	0.022299999371171	0.0040000001899898035	2.5	0.5	13.399999618530273	0.5
3.0	11.0	52.95769368916577	0.0	-31.0	29.0	49.551310788753824	0.0	229.60942068174987	-59.20557294411017	2.6800000667572017	0.009999999776482582	0.14139999449253082	0.0048000002279877645	5.300000190734863	0.20000000298023224	14.399999618530273	0.10000000149011612
3.0	20.0	23.111277291500727	0.0	-31.0	24.0	45.35057187970381	0.0	229.5406872352483	-57.390712213395865	2.490000009536743	0.009999999776482582	0.043299999088048935	0.009399999864399431	1.7000000476837158	0.4000000059604645	22.899999618530273	0.699999988079071
3.0	28.0	1.9357973714303967	0.0	-22.0	2.0	7.069918369542734	0.0	213.5305009396666	-54.17945079124763	0.7300000190734863	0.009999999776482582	0.024000000208616257	0.0027000000700354576	3.299999952316284	0.4000000059604645	23.5	0.4000000059604645
3.0	38.0	13.496663557917685	0.0	-25.0	2.0	14.98906488795086	0.0	219.38573791357842	-52.66135961987978	0.3799999952316284	0.009999999776482582	0.018699999898672104	0.0020000000949949017	4.900000095367432	0.5	29.79999923706055	0.4000000059604645
3.0	48.0	52.05517494553192	0.0	-29.0	44.0	1.3081968334751082	0.0	227.54718870470813	-51.14251930518228	1.3200000524520874	0.009999999776482582	0.027100000530481345	0.0032999999821186066	2.0	0.30000001192092896	14.0	0.10000000149011612
3.0	51.0	27.7071151611527	0.0	-27.0	45.0	36.34798902783274	0.0	224.6008428461488	-50.28313900903761	1.2699999809265137	0.019999999552965164	0.13210000097751615	0.005799999926239252	10.399999618530273	0.5	35.09999847412109	0.10000000149011612
3.0	51.0	46.08631339479899	0.0	-27.0	42.0	56.86796459148297	0.0	224.55100115669472	-50.2087032533941	4.179999828338623	0.019999999552965164	0.5913000106811523	0.015599999576807022	14.199999809265135	0.4000000059604645	33.700000762939446	0.10000000149011612
3.0	55.0	40.14852490965524	0.0	-20.0	33.0	5.747655285324242	0.0	214.30388648866986	-47.59182817678794	1.1100000143051147	0.009999999776482582	0.03909999877214432	0.003599999938160181	3.5	0.30000001192092896	24.899999618530273	0.30000001192092896
