	ID#	Extinction_Index_x	Extinction_Index_y	Ra(deg)	Dec(deg)	Rotation_Measure(rad/m2)	RM_Err(rad/m2)	RA_inExtincFile(degree)	Dec_inExtincFile(degree)	Extinction_Value	Error_Range(pix)	Min_Extinction_Value	Min_Extinction_Ra	Min_Extinction_Dec	Max_Extinction_Value	Max_Extinction_RA	Max_Extinction_dec	Extinction_Observed
7	27	1005	368	50.85423000000002	30.01892	19.270973	1.8173814	50.86124054950026	30.027821819041034	0.7643551826477051	2.0	0.7114522457122803	50.84204984162822	29.977522665301798	2.6170637607574463	50.79861993726989	30.06976340769509	True
8	132	939	368	52.67073000000002	30.19187	29.723274	3.859053	52.673686829121934	30.20006594565525	0.7857041358947754	2.0	0.7857041358947754	52.673686829121934	30.20006594565525	2.294623851776123	52.65307862691614	30.149744717363035	True
15	170	912	349	53.48111000000002	29.80099	21.398557999999998	2.0211868	53.48432707859638	29.80795480432488	0.9374179840087892	2.0	0.731497049331665	53.45016213995589	29.853640098086125	1.860929012298584	53.53960725657259	29.81241968758905	True
16	18	1016	355	50.61890000000001	29.69536	20.020407000000002	2.5726080000000002	50.61497147740621	29.688645504111587	0.9801870584487916	2.0	0.8064846992492676	50.64615022189847	29.66774749982256	2.8346281051635738	50.583781303017425	29.709535175712873	True
