ID,RA_deg,Dec_deg,Av_mag,RM_obs_rad_m2,RM_err_rad_m2,B_parallel_uG,B_upper_err_uG,B_lower_err_uG
54,51.193730000000016,30.82878,3.58421277999878,51.536552,2.0400045,100.33817584292791,346,45
55,51.20127000000001,30.82824,3.58421277999878,52.368637,1.277525,104.51595087297234,117,104
60,51.29218000000001,31.47676,2.144716024398804,28.370295,0.026800664,-26.148590041121622,51,424
62,51.300320000000006,28.987040000000004,2.077472448348999,43.826855,2.971824,105.0983393221855,392,104
63,51.31276,29.091959999999997,1.674418568611145,62.327133,2.7666042,351.44605087488065,779,350
64,51.31906000000002,29.8315,1.758995532989502,46.179394,2.973946,155.6402815454941,210,155
65,51.32284000000001,31.28663,2.440863609313965,27.203108,1.9176736,-30.796122789081146,75,59
67,51.42621000000001,30.10618,7.096508979797362,28.290134,1.0230142,-13.304602069379065,29,157
71,51.49614000000002,31.48528,2.758617877960205,23.760372,1.7891058000000002,-48.55562474310043,51,101
73,51.51826000000001,32.17038,1.7188221216201782,68.29209,1.5218248,404.02826710777464,2553,285
75,51.53274000000002,30.17479,4.2830071449279785,24.150707,1.2524246,-33.467529167483676,32,39
76,51.57442000000002,31.45662,2.709388256072998,32.20207,1.0470768,4.129964005828538,247,45
77,51.58042000000001,31.454909999999998,2.709388256072998,33.87937,0.7868045,14.79023472574426,720,44
78,51.58412000000001,29.08432,2.083102464675904,34.07297,1.9670372,21.507521954221367,109,344
79,51.58837000000001,29.082659999999997,2.083102464675904,37.52665,2.5987318,50.97540722272331,214,350
82,51.781270000000006,29.81535,3.035245180130005,15.281948000000002,1.536551,-92.86655543975115,92,101
83,51.795270000000016,29.022609999999997,1.7482078075408936,20.549303,0.1668932,-118.10519844757934,117,147
85,51.81703,29.90749000000001,3.9216930866241455,26.5859,0.77248985,-23.54054416899023,110,48
86,51.83461000000001,31.80377,2.091397762298584,35.610188,1.3858976,34.4460328567485,517,63
87,51.83515000000001,31.80848,2.091397762298584,37.34995,1.0409883,49.21412293104269,83,61
