	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
0	-67.59020402936844	-186.0356203494822	-176.1238559985194	-233.28905911504117	-304.7569619686975	-283.4270733244308	-256.1910487444053	-281.7821487211009	-291.3440569259903	-320.4817092829509	-388.5523194132215	-454.8732947709815	-429.83798256950956	-420.8136743918565	-422.7528561382378	-456.9143713008646	-422.84602243619173	-432.93540749653965	-425.4508864101721	-422.313979307888	-424.5446326211136	-435.2542354275767	-430.5689959888897	-432.3726883431716	-441.69204837203205	-429.0041204208967	-417.7656728973583	-453.1283266548868	-462.9596016847847	-465.99918840420696	-485.48212711544693	-475.0579037186691	-474.4746467496748	-479.6312529521101	-465.8878425913475
1	38.872310928882406	-117.27254727077202	-100.80223365130396	-180.94825069367337	-284.2437644479183	-253.08143032940322	-212.6780887470175	-250.4845968167157	-268.979232465915	-310.8562292854719	-414.7465941859242	-517.2257113905679	-479.9410521192483	-467.0493970565781	-470.9757965740388	-525.3047059671004	-472.87247527152743	-489.81213085177615	-478.9884265649778	-474.92172333605674	-479.41836091511925	-497.57004778193186	-490.9233906740744	-494.79444815104694	-510.9528590439417	-491.14622817574826	-473.531472913949	-532.7025192705404	-550.1961336123466	-556.4813897074902	-590.4077916059539	-574.3459021490362	-574.7864946714091	-584.9553092787279	-562.9269865343684
2	-161.1435441634888	-304.8725338184363	-298.07414377391245	-368.55882609896105	-455.0549611852745	-433.11725660570346	-403.5452236826574	-435.90442889438316	-452.7126612479968	-485.50269006721885	-568.5346505562778	-649.8135807659525	-622.2057635322282	-613.6041033711971	-617.8415806848895	-660.6480533666941	-621.5685806116115	-635.7615771672445	-628.7473916229312	-626.8169574150671	-631.3731211451732	-646.1456349026555	-642.1556214433824	-646.1116621563443	-659.2174963562784	-645.4359094722308	-633.3350410848939	-678.120377980503	-692.0433504519356	-697.6041420420884	-723.4614442874725	-712.6011925384903	-713.8660460582009	-722.1876706689201	-707.1056543046753
3	-350.21897272423075	-599.7908745803011	-608.261027733892	-738.7505422227676	-894.0322892537552	-872.9101565532243	-835.761135957807	-901.8364408538417	-942.2273136450556	-1019.1488849151109	-1168.7020556609018	-1325.9681588009514	-1290.743862889576	-1288.975423895637	-1308.862610097199	-1398.924318780397	-1339.3806405066714	-1379.5225600595838	-1380.2529010393278	-1389.639235051186	-1411.558984431615	-1452.9311259403987	-1457.8225541481509	-1478.832874305509	-1518.0733543693282	-1504.0827179715357	-1492.8852382466666	-1595.1549822147565	-1638.9089708328206	-1665.7633794081548	-1735.5230519114293	-1730.4262545053075	-1750.9548459593475	-1786.5086741884172	-1772.3662540907014
4	117.25181408101368	-29.357883858850506	-9.058852150140833	-84.69225801550898	-184.17568671077584	-151.04870294603373	-109.22188635019566	-144.69587167966304	-161.1645100461762	-202.9177697941772	-302.00505736480494	-401.2744931117107	-362.9190425442044	-348.61198808375974	-351.0538849013984	-403.20252478791446	-350.2117766296178	-365.3438299505196	-353.17078590629205	-347.74805664142883	-350.7433252411543	-367.22010036918766	-359.3739712440328	-361.81191970656783	-376.3342397255988	-355.53938824080524	-336.933565656316	-393.8754114061637	-409.6020463763318	-414.3515020521721	-446.1935843876411	-428.88670916836674	-427.76118666825784	-436.2048109059238	-413.05300581126244
5	175.1393841603646	19.922923112704225	45.290945578424335	-37.821517888468584	-148.18048425587767	-109.89078140672217	-61.64721257544693	-101.0597449677943	-119.05800895855968	-166.03604479835522	-281.7602592985985	-396.4162269233554	-351.79823077627873	-334.9702827774686	-337.6261690518086	-398.37358570036366	-336.2852607853102	-353.82925447999565	-339.3548438351657	-332.7841419458261	-336.12051263035016	-355.41804357254597	-345.9828819042839	-346.09077980606963	-363.12435125055214	-338.4562801158615	-316.2875659257551	-383.7430842506257	-402.4240858167421	-408.09581162149624	-446.1775095678814	-425.55217350560474	-424.2637585135713	-434.48750540098143	-406.63636382002625
6	41.04338142243564	-139.92121299853488	-120.90117343483548	-216.01165976064186	-339.175586061668	-304.04856615215283	-257.3026567135947	-303.62493843769784	-327.0899222491735	-381.89890161827293	-509.94108866469315	-637.1329701373128	-593.4512119984009	-579.5248785694789	-586.0689040663352	-654.9682240597923	-591.7000793503652	-610.0485267288029	-598.6579347331785	-595.4724318408987	-602.9624724674684	-627.5167099529958	-620.9957051162337	-627.7581778519931	-650.064280454216	-626.9120902298894	-606.3717244362468	-683.3378580693202	-707.9166249185575	-718.2315296537082	-764.2235144896787	-746.1442679535148	-749.3413644220765	-765.158089244063	-739.1255334438752
7	-15.365110076706005	-266.863548636622	-252.15607921328487	-391.00646308248827	-572.5868147889241	-532.6700923589748	-473.4743480408581	-548.1377768676098	-590.5285526315339	-681.0908860578878	-882.678516138052	-1087.1282894436558	-1032.6536106684105	-1023.2641579248536	-1044.3884761767965	-1163.6285663487172	-1074.9478799628928	-1124.6873849020824	-1119.2311314701249	-1117.3125356977994	-1142.479994578236	-1196.1738059445288	-1197.9837944307785	-1223.058159195879	-1275.2995713993157	-1249.5165813743179	-1227.5843507554669	-1376.2959051800005	-1437.7011641647991	-1474.377725255029	-1577.7693706200307	-1566.2154029103458	-1594.679696019214	-1647.6210951764547	-1621.7510812079458
8	-4.002646975382163	-149.00997043306327	-135.29346300000674	-206.15578141797772	-297.94639450357846	-270.7989372381567	-235.6095442387017	-269.1072942203632	-285.56066982211263	-324.4419833633325	-415.64538171581523	-505.1890277411042	-472.30683238661936	-460.820771773749	-464.0349833713839	-511.0137207611431	-465.28643035852366	-479.71462356205495	-470.11990312121253	-466.3993406198739	-470.057273372181	-481.67670966516226	-475.8840989482067	-479.03708254969644	-492.60106035934245	-475.67373535035046	-460.65293190885984	-510.5163414356763	-525.0616929672341	-530.1328637480533	-558.400517439002	-544.6393269243288	-544.7369411965707	-552.967854219725	-534.3093800148081
9	95.01350656343233	-9.78969502726021	4.807730190361586	-45.698698861975465	-111.14407364622531	-88.0070171870276	-59.75100554936824	-82.16000878214291	-92.02217027531297	-117.88132366102022	-181.430005986797	-243.23051284546983	-217.31609674132622	-204.83862654160922	-205.17717720766314	-236.22453844556443	-202.44647980885688	-210.44505432842553	-201.7987298637545	-197.3958697160658	-198.09184140152095	-206.89018510691403	-201.17174374066698	-201.5581602966117	-209.08053041429966	-195.80654711354586	-183.9494762305925	-216.29803144467644	-224.24937444259766	-225.81908753146396	-242.90082972023933	-231.66658736461903	-229.7288313882533	-233.24551547897838	-218.92809169157715
