ID#	Extinction_Index_x	Extinction_Index_y	Ra(deg)	Dec(deg)	Rotation_Measure(rad/m2)	RM_Err(rad/m2)	RA_inExtincFile(degree)	Dec_inExtincFile(degree)	Extinction_Value	Error_Range(pix)	Min_Extinction_Value	Min_Extinction_Ra	Min_Extinction_Dec	Max_Extinction_Value	Max_Extinction_RA	Max_Extinction_dec	Extinction_Observed
0	1035	414	49.849410000000006	31.02869	33.777412	0.49198952	49.84736398465907	31.033523264751608	1.306603193283081	2.0	0.3080630600452423	49.82870456898132	30.982883525036193	1.8952018022537231	49.83860201829715	31.081093979697737	True
1	1032	427	49.86532000000001	31.35421	58.601063	1.4552824	49.87284305356226	31.352238937768767	0.48683249950408936	2.0	0.048647284507751465	49.881616643249714	31.30460031067864	1.967374563217163	49.86405886708175	31.399886202627535	True
2	1029	417	50.012520000000016	31.126040000000003	75.94589	0.12320466	49.99905373711245	31.123336793480743	1.2429472208023071	2.0	0.4766581058502197	49.97591058264055	31.0964695978644	1.5975838899612427	49.99471260198767	31.147146948671395	True
3	1022	438	50.08925000000001	31.64013	47.79162	0.48620918	50.101097996930115	31.645564521926307	1.001220941543579	2.0	0.6439685821533203	50.12447128557287	31.67253162250501	1.9672225713729858	50.0500588684047	31.615506490582966	True
4	1020	450	50.11581	31.944129999999998	44.810696	1.048052	50.104435723681064	31.93847516178008	0.8720928430557251	2.0	0.7897577285766602	50.1322510561965	31.941588432698957	1.6868023872375488	50.07226175902652	31.95926157660134	True
5	1018	443	50.18621	31.76695	54.01694499999999	0.62202483	50.19038981876929	31.777349144814355	0.9868234395980835	2.0	0.545486330986023	50.16262333207294	31.77426352681863	1.6637732982635498	50.1947102409388	31.75345052510222	True
6	1022	419	50.189230000000016	31.201759999999997	46.879368	0.6836968000000001	50.18308899346534	31.1922923547588	1.350156545639038	2.0	0.8644856214523315	50.12799306137144	31.186223842159865	2.34592866897583	50.16412929723763	31.14160022023707	True
7	1018	436	50.23199000000002	31.60075	49.666195	1.741888	50.22057769394473	31.610102160233954	1.5984244346618652	2.0	0.81394362449646	50.156518507812095	31.651731483983557	2.090109348297119	50.23969924782001	31.660941017345113	True
8	1022	408	50.23797000000001	30.93758	54.350894999999994	2.0099947	50.230129107970086	30.930237317876845	0.2529035806655884	2.0	0.2529035806655884	50.230129107970086	30.930237317876845	2.0595028400421143	50.18375456722811	30.876634142447948	True
9	1021	412	50.247140000000016	31.02774	45.31178	2.1725087000000003	50.24056296222726	31.02850228639926	1.8893320560455322	2.0	0.9868432283401489	50.24908726638465	30.980861040942663	2.4971930980682373	50.18556292980119	31.022488445515492	True
10	1022	405	50.24958000000001	30.848440000000004	64.24135600000001	2.5418766	50.24290424160267	30.858816228914947	1.0845348834991455	2.0	0.47249993681907654	50.23439004763879	30.90642794713966	2.1607584953308105	50.18802587142058	30.852835726772792	True
11	1019	420	50.250130000000006	31.22124	42.425503000000006	1.9913983	50.26151376157225	31.22520124799571	2.025963544845581	2.0	0.9981428384780884	50.1977868865256	31.26684507177741	2.5161783695220947	50.31243562011655	31.255077207996735	True
12	1019	410	50.30499000000001	30.99768	52.73574	0.65576845	50.30408226456972	30.98684113682444	1.9805691242218018	2.0	0.4896047115325928	50.257601309406915	30.93322905442229	2.5192151069641113	50.33158950757639	30.98982322301687	True
13	1017	408	50.37152000000002	30.951729999999998	48.591685999999996	0.6582979999999999	50.36755502861516	30.945143061029306	1.0919462442398071	2.0	0.7707745432853699	50.32103793906899	30.8915615095842	2.5192151069641113	50.33158950757639	30.98982322301687	True
14	1008	447	50.44955000000001	31.89139	51.1612	1.170221	50.45143068193665	31.903642547145648	1.7840577363967896	2.0	0.9053690433502197	50.49870169793974	31.9576062421036	1.842002511024475	50.45568191548773	31.879704490510814	True
15	1012	420	50.45063000000001	31.24205	50.628624	2.810168	50.4547480168456	31.24618158465195	1.0106050968170166	2.0	1.0106050968170166	50.4547480168456	31.24618158465195	2.5516178607940674	50.395273898612515	31.26407814821951	True
16	1009	418	50.557280000000006	31.20588	49.9847	1.1195483	50.5460373101351	31.207340048568906	1.5162607431411743	2.0	1.0702041387557983	50.482378901752945	31.2491572254284	2.2806811332702637	50.52679210884795	31.156644340064503	True
17	1002	455	50.59103000000001	32.10835	34.036564	3.3378282	50.58503941694767	32.11350796441681	0.9319931268692017	2.0	0.7830932140350342	50.52910891909458	32.107434138158325	1.5857471227645874	50.604575432591616	32.164493583077785	True
18	1016	355	50.61890000000001	29.695359999999997	20.020407000000002	2.5726080000000002	50.6149714774062	29.688645504111584	0.9801870584487915	2.0	0.8064846992492676	50.646150221898466	29.66774749982256	2.834628105163574	50.58378130301742	29.70953517571287	True
19	1019	325	50.64575000000001	28.97552	26.23560100000001	1.4145119	50.65581316648148	28.97096096548374	2.092642307281494	2.0	1.18147873878479	50.70551783507981	29.000005420788693	2.499309778213501	50.60616002272924	28.94191207760396	True
20	1018	332	50.646300000000004	29.133609999999997	75.279434	2.3367467	50.65442475632665	29.138964451116887	1.6540472507476807	2.0	0.4340372681617737	50.70020454636803	29.19169749599493	3.0861282348632812	50.60871948437868	29.086247670715323	True
21	1005	417	50.64872000000001	31.20035	42.193104	0.55164415	50.66076703583496	31.195235669660814	2.165404796600342	2.0	0.581727921962738	50.71194036038238	31.22497845877359	2.6823623180389404	50.637279864346795	31.16842203280499	True
22	1014	350	50.68300000000001	29.56505	16.960531	0.7118561999999999	50.68949873764228	29.575770730628964	1.9403306245803833	2.0	0.7890912294387817	50.75173907455563	29.533932048536926	2.0872600078582764	50.712526196049936	29.60223341528057	True
23	1003	411	50.742810000000006	31.06418	65.95874	1.8966884999999998	50.74085016692175	31.057788973135512	1.8399659395217896	2.0	1.2360581159591675	50.7173667744165	31.031012158612658	2.7573060989379883	50.760236075422135	31.108451441439772	True
24	1013	334	50.78311000000001	29.19962	22.678974	3.242579	50.78105804056122	29.19988512217318	1.2038934230804443	2.0	0.8632466197013855	50.73117455850888	29.170796152199106	2.113992214202881	50.8040165327315	29.226251856767842	True
25	1013	322	50.833200000000005	28.90758	17.563622	0.6549206	50.82902065529752	28.91638367054547	1.6312596797943115	2.0	0.7327947616577148	50.79416815230579	28.960909525443864	2.2253808975219727	50.87880418183964	28.945360531880233	True
26	993	456	50.83547000000001	32.16422	82.64536	0.20498915	50.83289734980378	32.16456257053953	1.6465412378311157	2.0	0.9086835384368896	50.852641051839825	32.21555912173675	2.2602574825286865	50.856791430009594	32.19155012932824	True
27	1005	368	50.854230000000015	30.01892	19.270973	1.8173814	50.86124054950026	30.027821819041034	0.7643551826477051	2.0	0.7114522457122803	50.842049841628224	29.977522665301798	2.6170637607574463	50.79861993726989	30.069763407695092	True
28	1011	327	50.86062000000001	29.047009999999997	60.948769999999996	2.8704107000000003	50.8629048035011	29.039848985436763	1.7021610736846924	2.0	1.2418358325958252	50.881878662238194	29.089805799875393	2.096421957015991	50.83199994556606	29.060782084830315	True
29	1009	341	50.86195000000001	29.38008	12.847766	0.42140946	50.861022428972966	29.37638848964153	2.31160569190979	2.0	0.6934880018234253	50.79893048932413	29.418277245373602	2.31160569190979	50.861022428972966	29.37638848964153	True
30	1009	337	50.87244000000001	29.28552	0.8413539000000001	0.7502289000000001	50.87699340719924	29.281710574314005	1.800459384918213	2.0	0.9300148487091064	50.85398398345666	29.255337943662802	2.223893404006958	50.907982497937724	29.260753844365418	True
31	1010	323	50.896510000000006	28.945320000000002	32.41803400000001	2.0564787	50.90569682768986	28.948037314380432	1.610483169555664	2.0	1.2652437686920166	50.936549424872894	28.92708872087452	2.2253808975219727	50.87880418183964	28.945360531880233	True
32	1003	370	50.90513000000001	30.076490000000003	29.526654999999998	0.96006024	50.90775027248307	30.080919868352296	2.2024669647216797	2.0	0.7643551826477051	50.86124054950026	30.027821819041034	3.2749462127685547	50.954336481462605	30.134031755631796	True
33	1006	349	50.907810000000005	29.576259999999998	17.01606	1.7398099999999999	50.91028683410251	29.574099892660197	1.6451449394226074	2.0	1.2378555536270142	50.84804483181657	29.616034569201773	2.9342458248138428	50.96055076816625	29.60326734581519	True
34	992	439	50.938490000000016	31.74977	31.815825	1.3071896	50.931064435547356	31.759730502977284	1.5310076475143433	2.0	0.5895103216171265	50.86701787053713	31.80180169800032	1.928154468536377	50.963069328594855	31.738680625832313	True
35	1006	341	50.94280000000001	29.384209999999996	16.057575	1.2152815000000001	50.94216050177163	29.384534469718034	2.2794249057769775	2.0	0.7805774807929993	50.977148166191455	29.339871289682577	2.664773464202881	50.93420626081357	29.431908623949813	True
36	991	439	50.97348000000001	31.75484	22.942664999999998	2.6044261000000004	50.9589750691655	31.762654057330128	1.5795271396636963	2.0	0.6220901012420654	50.89493187006096	31.804742485177762	1.9328587055206299	51.018893517231454	31.744504918229776	True
37	1008	321	50.97703000000001	28.903709999999997	56.17135	2.0899978	50.96739063031611	28.906132365535772	1.9452135562896729	2.0	0.48014357686042786	50.99822043246537	28.885168271421698	2.1021034717559814	50.99034932690749	28.932411892532564	True
38	998	370	51.03970000000001	30.10207	56.457606999999996	0.79044884	51.04430045981115	30.094748989813095	2.224785566329956	2.0	1.3097537755966187	50.99365865050166	30.065451586266473	3.419334650039673	50.98166198575069	30.136803528936042	True
39	998	370	51.04601000000001	30.10075	53.283504	0.6637403000000001	51.04430045981115	30.094748989813095	2.224785566329956	2.0	1.3097537755966187	50.99365865050166	30.065451586266473	3.419334650039673	50.98166198575069	30.136803528936042	True
40	992	411	51.046230000000016	31.091359999999998	70.849396	0.7891368000000001	51.04498933895901	31.08938568499381	1.5193850994110107	2.0	1.2663980722427368	51.053052862430945	31.04157199449021	3.0663087368011475	51.03691602926142	31.1372087435104	True
41	1002	340	51.050440000000016	29.37108	15.851020000000002	1.7409343999999998	51.054371529101985	29.371631105269387	1.4824339151382446	2.0	1.0785590410232544	51.100667502923045	29.424394425419344	2.3904457092285156	51.02335240624353	29.39263538247244	True
42	1000	349	51.06359000000001	29.580920000000003	22.610889999999998	2.2335787	51.073089472645194	29.590398217710497	1.1444165706634521	2.0	0.8629924058914185	51.010866867021754	29.63242922302412	2.544525384902954	51.022759984507836	29.561268188080494	True
43	993	395	51.075500000000005	30.704309999999996	51.28159	0.627501	51.081671163610025	30.704346266799266	2.6388044357299805	2.0	1.1436095237731934	51.03059968148066	30.67487410375094	4.353403568267822	51.13279624117765	30.73381133002252	True
44	993	395	51.08218000000001	30.70161	52.647569999999995	0.4584281	51.081671163610025	30.704346266799266	2.6388044357299805	2.0	1.1436095237731934	51.03059968148066	30.67487410375094	4.353403568267822	51.13279624117765	30.73381133002252	True
45	991	402	51.098070000000014	30.876379999999997	39.67677	1.9283152	51.10881355389361	30.877111946383046	2.8515548706054688	2.0	1.5300116539001465	51.156080431752315	30.93052012698007	3.391890048980713	51.172034601595584	30.834933557084145	True
46	998	359	51.10239000000001	29.82811	72.161835	2.736049	51.08796120148713	29.833238076489938	1.9010851383209229	2.0	1.2566020488739014	51.04143078726365	29.780286939025817	2.5384438037872314	51.029519818300656	29.85154119702456	True
47	991	402	51.10568000000001	30.87309	42.201865999999995	1.5336493	51.10881355389361	30.877111946383046	2.8515548706054688	2.0	1.5300116539001465	51.156080431752315	30.93052012698007	3.391890048980713	51.172034601595584	30.834933557084145	True
48	985	435	51.14155000000001	31.683359999999997	27.209064	0.5804331	51.14274021021501	31.684124869027503	1.7148094177246094	2.0	0.8766356706619263	51.15080948443038	31.6361614144598	2.2165794372558594	51.17066273521491	31.686997219565097	True
49	984	436	51.163900000000005	31.70103	29.675201	1.2092668	51.16663248526835	31.710985137132532	1.6292734146118164	2.0	0.6216522455215454	51.18651766479199	31.761842996502214	2.2165794372558594	51.17066273521491	31.686997219565097	True
50	985	426	51.16868000000001	31.47908	45.368946	1.3684016	51.17897442118407	31.468357977543917	1.742984414100647	2.0	1.0689300298690796	51.20281618852224	31.495171976379137	2.925178289413452	51.127323083361844	31.438692658761312	True
51	993	370	51.169050000000006	30.109579999999998	37.604088	1.9269009	51.18100195601703	30.108448180413962	2.0451316833496094	2.0	1.2881336212158203	51.239651385475824	30.09008354145983	2.677961587905884	51.173110281133944	30.156060119838084	True
52	1001	313	51.174720000000015	28.742359999999998	35.52494	1.507241	51.186832468652376	28.73560626859104	1.7583539485931396	2.0	1.0523771047592163	51.19457230203603	28.688383198749754	2.764468193054199	51.20984295476599	28.761823981185902	True
53	993	365	51.192580000000014	29.988670000000003	36.406006	0.49228459999999996	51.20068982386256	29.989465337529996	3.2515997886657715	2.0	0.6025618314743042	51.25924991951986	29.971085000027788	3.48875093460083	51.2046203307644	29.96567689179191	True
54	988	400	51.193730000000016	30.82878	51.536552	2.0400044999999998	51.19965236048994	30.837724579251308	3.5842127799987793	2.0	1.7936886548995972	51.24698147784741	30.891096480024256	6.2491841316223145	51.26282131639104	30.795494084607736	True
55	988	400	51.20127000000001	30.82824	52.368637	1.277525	51.19965236048994	30.837724579251308	3.5842127799987793	2.0	1.7936886548995972	51.24698147784741	30.891096480024256	6.2491841316223145	51.26282131639104	30.795494084607736	True
56	1000	312	51.229290000000006	28.7047	-41.470215	0.22047675	51.21757235368807	28.71458887359445	1.4872163534164429	2.0	0.8938758969306946	51.19843880427287	28.664776361542234	2.764468193054199	51.20984295476599	28.761823981185902	True
57	995	339	51.242380000000004	29.36937	68.53305999999999	3.7138765	51.2479028068717	29.3665894891891	1.4367358684539795	2.0	1.3611171245574951	51.27888835312722	29.345521571252874	2.202059745788574	51.213007993990445	29.411361576361298	True
58	999	313	51.24895000000001	28.75337	43.315563	2.3454485000000003	51.240590893365756	28.74079857882306	1.438032865524292	2.0	1.0523771047592163	51.19457230203603	28.688383198749754	2.764468193054199	51.20984295476599	28.761823981185902	True
59	978	455	51.25587000000001	32.17657	19.691303	1.6841162	51.258230836912	32.1846232050543	1.2655880451202393	2.0	0.4103398323059082	51.23817822878204	32.133643846519405	2.5832879543304443	51.31449618451852	32.19040068607376	True
60	981	426	51.29218000000001	31.47676	28.370295000000002	0.026800664	51.290411277661086	31.479707479000183	2.1447160243988037	2.0	1.3288897275924683	51.2266778326602	31.521988520245667	2.77765154838562	51.32623045353334	31.4345775640029	True
61	997	312	51.298680000000004	28.734240000000003	11.125509	2.0810559	51.298213439682826	28.722346675248946	1.4773342609405518	2.0	1.438032865524292	51.240590893365756	28.74079857882306	2.4564504623413086	51.23673255888545	28.764420584288473	True
62	995	323	51.30032000000001	28.987040000000004	43.826855	2.9718240000000002	51.309792302770276	28.987599097519574	2.077472448348999	2.0	0.8645396828651428	51.27895327972935	29.008657689503142	2.1784307956695557	51.36760419860023	28.96912292118719	True
