ID#	Ra(deg)	Dec(deg)	Extinction	Magnetic_Field(uG)	TotalUpperBUncertainty	TotalLowerBUncertainty
47	51.10568000000001	30.87309	2.8515548706054688	-35.835341582912434	56	73
48	51.14155000000001	31.683359999999997	1.7148094177246094	-248.63733833645537	121	930
49	51.16390000000001	31.70103	1.6292734146118164	-238.10227033491958	140	1235
50	51.16868000000001	31.47908	1.742984414100647	-30.140667480060678	103	113
51	51.16905000000001	30.109579999999998	2.0451316833496094	-95.78888150949032	90	139
52	51.17472000000002	28.742359999999998	1.7583539485931396	-144.18207026768033	121	266
53	51.19258000000002	29.98867000000001	3.2515997886657715	-63.42221470474504	43	864
54	51.193730000000016	30.82878	3.58421277999878	18.354508154849864	53	48
55	51.20127000000001	30.82824	3.58421277999878	22.584778350397286	52	44
56	51.229290000000006	28.7047	1.4872163534164429	-1363.3025549629115	793	3334
57	51.24238	29.36937	1.4367358684539795	334.32730398390305	182	240
58	51.24895000000001	28.75337	1.438032865524292	-74.68196600695536	163	172
59	51.25587000000001	32.17657	1.2655880451202393	-582.0651354136635	428	1699
60	51.29218000000001	31.47676	2.144716024398804	-171.4183044535979	79	204
61	51.29868	28.734240000000003	1.4773342609405518	-567.888422306996	329	148
62	51.300320000000006	28.987040000000004	2.077472448348999	-37.54475140575277	94	229
63	51.31276	29.091959999999997	1.674418568611145	179.62258162504676	593	134
64	51.31906000000002	29.8315	1.758995532989502	-20.298190221031845	120	123
65	51.32284000000001	31.28663	2.440863609313965	-154.59885151729915	83	120
66	51.39706	29.026320000000002	1.0894156694412231	-670.6687766385558	523	525
67	51.42621000000001	30.10618	7.096508979797362	-80.15161744269827	36	54
69	51.43404000000002	31.980859999999996	1.597557544708252	-420.8187943535244	208	1573
71	51.49614000000002	31.48528	2.758617877960205	-157.09616406796502	75	114
72	51.50229000000001	28.755129999999998	1.1641110181808472	-542.2428552383439	445	690
73	51.51826000000001	32.17038	1.7188221216201782	243.5058700258435	1399	124
74	51.52349000000001	28.96841	1.3119453191757202	-391.40165481028816	285	1266
75	51.53274000000002	30.17479	4.2830071449279785	-109.07392543211594	43	86
76	51.57442000000002	31.45662	2.709388256072998	-104.34343998417208	67	60
77	51.58042000000001	31.454909999999998	2.709388256072998	-93.21312086412294	63	57
78	51.58412000000001	29.08432	2.083102464675904	-126.40197977808515	91	783
79	51.58837000000001	29.082659999999997	2.083102464675904	-94.88946603188046	94	591
80	51.59432000000001	29.36332	1.6226264238357544	-180.22087479431858	141	737
81	51.63153000000001	28.77465	1.4126132726669312	-293.9098276702227	224	684
82	51.781270000000006	29.81535	3.035245180130005	-192.94640346523298	74	217
83	51.795270000000016	29.022609999999997	1.7482078075408936	-321.16714886026574	107	442
84	51.80401000000001	29.706490000000002	1.2776564359664917	-137.19570391430207	218	201
85	51.81703	29.90749000000001	3.9216930866241455	-103.03795043137035	42	180
86	51.83461000000001	31.80377	2.091397762298584	-111.75998057023224	80	160
87	51.83515000000001	31.80848	2.091397762298584	-95.9728230790763	77	142
88	51.84136	31.804240000000004	2.091397762298584	-134.54609772531123	84	187
89	51.84522000000001	31.16793	2.87424635887146	19.83985800632071	71	63
90	51.87394000000001	30.24705	15.614900588989258	-53.14925359050466	32	39
91	51.91465000000001	31.40258	2.8716089725494385	-115.41692752583764	63	129
92	51.92582000000001	30.19466	9.586883544921877	-62.35540104739915	33	44
93	51.93425000000001	30.94952	1.9695948362350464	27.657464637069488	90	88
94	51.93958000000002	29.066029999999998	2.543134450912476	-287.32319612937494	60	2974
95	52.01503	30.97761	2.729243755340576	-21.954838538893668	67	67
97	52.02843000000002	29.44414	1.1627353429794312	-531.1610844913707	387	1206
98	52.09405000000001	29.001659999999998	2.623230695724488	-261.62728969702493	60	300
99	52.09914000000002	29.005190000000002	2.623230695724488	-296.6239689185872	61	339
100	52.10475000000002	30.71353	2.8437857627868652	-23.04294879457669	59	59
101	52.11130000000002	29.018140000000002	2.623230695724488	-292.7268842151584	68	336
102	52.11468000000001	30.8918	3.806918621063232	50.680317370114345	51	50
103	52.12113000000002	28.981509999999997	2.0997552871704097	-94.88196060874952	85	116
104	52.12625000000001	30.8459	5.156177043914795	14.653272508597206	33	33
105	52.13153000000001	30.84587	5.156177043914795	13.909904127607508	33	32
106	52.13879000000002	30.8443	5.156177043914795	14.47467115305666	33	33
107	52.15028000000001	29.36554000000001	2.3192174434661865	-147.58571108751778	58	322
108	52.15879000000002	30.836	4.208803653717041	14.986873508267848	34	34
109	52.16818000000001	30.83172	4.208803653717041	13.254047267665815	34	34
110	52.17958000000001	31.65348	4.458932876586914	151.57208750315183	221	47
111	52.21766	29.509259999999998	2.503032922744751	-239.25009258004997	82	178
112	52.23070000000001	29.52873	2.9006187915802	-179.38281356753487	52	380
113	52.29434000000002	31.53165	6.927295684814452	-20.419714160230885	35	35
114	52.29890000000002	31.00102	3.3742024898529053	28.266438815955148	61	61
115	52.33462000000002	31.11236	4.0688066482543945	-13.161948278563026	42	42
116	52.37863000000001	31.36905	4.973970890045166	107.4901531127699	60	51
117	52.49627	30.6062	2.80450439453125	-92.61004841911509	66	101
118	52.49979000000002	30.6105	2.6438422203063965	-86.89843253941496	66	91
119	52.51526000000001	30.54888	3.737828254699707	-133.02801434683414	55	166
120	52.51596000000002	30.55472	3.737828254699707	-146.81230830269033	58	183
121	52.52029000000001	31.19632	2.9040842056274414	-177.60383443726712	84	301
122	52.52152	30.551440000000003	3.737828254699707	-85.97875700060446	43	110
