ID,RA_deg,Dec_deg,Av_mag,RM_obs_rad_m2,RM_err_rad_m2,B_parallel_uG,B_upper_err_uG,B_lower_err_uG
0,49.849410000000006,31.02869,1.306603193283081,33.777412,0.49198952,37.04158770123604,179,110
2,50.012520000000016,31.126040000000003,1.2429472208023071,75.94589,0.12320466,806.9929537714509,2766,291
3,50.08925000000001,31.64013,1.001220941543579,47.79162,0.48620918,450.037104784136,875,351
4,50.11581,31.944129999999998,0.8720928430557251,44.810696,1.048052,516.0699078094829,330,459
5,50.18621,31.76695,0.9868234395980836,54.01694499999999,0.62202483,643.2143286890547,1179,429
6,50.189230000000016,31.201759999999997,1.350156545639038,46.879368,0.6836968000000001,243.173871028036,383,168
7,50.23199000000002,31.60075,1.5984244346618652,49.666195,1.741888,219.8525662145556,649,116
9,50.247140000000016,31.02774,1.889332056045532,45.31178,2.1725087000000003,132.47556923660895,273,88
10,50.24958000000001,30.848440000000004,1.0845348834991455,64.24135600000001,2.5418766,770.6527087740566,1870,544
11,50.25013000000001,31.22124,2.025963544845581,42.425503000000006,1.9913983,96.18843875418123,219,75
12,50.30499000000001,30.99768,1.980569124221801,52.73574,0.65576845,193.0406952966092,1512,79
13,50.37152000000002,30.951729999999998,1.0919462442398071,48.591686,0.6582979999999999,396.20478774958406,596,321
14,50.44955000000001,31.89139,1.7840577363967896,51.1612,1.170221,204.51328043803932,493,76
15,50.45063000000001,31.24205,1.0106050968170166,50.628624,2.810168,517.8192952462514,241,458
16,50.55728000000001,31.20588,1.5162607431411743,49.9847,1.1195483,242.5847092965815,225,139
17,50.59103000000001,32.10835,0.9319931268692015,34.036564,3.3378282,81.4194591434972,313,313
18,50.61890000000001,29.695359999999997,0.9801870584487916,20.020407,2.572608,-335.31090590370576,334,341
19,50.64575000000001,28.97552,2.092642307281494,26.23560100000001,1.4145119,-45.09610875636944,64,88
20,50.6463,29.133609999999997,1.6540472507476809,75.279434,2.3367467,508.3281623510115,3011,281
21,50.64872000000001,31.20035,2.165404796600342,42.193104,0.55164415,86.37467029401026,771,57
22,50.68300000000001,29.56505,1.9403306245803835,16.960531,0.7118561999999999,-135.44449680733777,64,635
23,50.74281000000001,31.06418,1.8399659395217896,65.95874,1.8966885,343.64942276017615,299,152
24,50.78311000000001,29.19962,1.2038934230804443,22.678974,3.242579,-170.94772886166072,204,257
25,50.83320000000001,28.90758,1.6312596797943115,17.563622,0.6549206,-164.6650649044941,96,805
26,50.83547000000001,32.16422,1.6465412378311155,82.64536,0.20498915,597.9135482734972,1189,215
27,50.85423000000002,30.01892,0.7643551826477051,19.270973,1.8173814,-721.5996654021174,721,522
28,50.86062000000001,29.047009999999997,1.7021610736846924,60.94877,2.8704107000000003,327.82882993267793,230,128
29,50.86195000000001,29.38008,2.31160569190979,12.847766,0.42140946,-141.33814465549278,49,1364
30,50.87244000000001,29.28552,1.8004593849182131,0.8413539000000001,0.7502289000000001,-316.20021289901376,103,699
31,50.896510000000006,28.945320000000002,1.610483169555664,32.41803400000001,2.0564787,10.389530373542689,98,98
32,50.90513000000001,30.076490000000003,2.20246696472168,29.526655,0.96006024,-16.08991136855849,56,117
33,50.90781000000001,29.576259999999998,1.6451449394226074,17.01606,1.73981,-170.3198987259442,125,133
34,50.938490000000016,31.74977,1.5310076475143433,31.815825,1.3071896,3.417039153275537,97,96
35,50.94280000000001,29.384209999999996,2.279424905776977,16.057575,1.2152815,-119.07403405900524,59,729
36,50.97348000000001,31.75484,1.5795271396636963,22.942665,2.6044261000000004,-106.39956833588259,110,596
37,50.977030000000006,28.903709999999997,1.9452135562896729,56.17135,2.0899978,229.73814918314616,1752,80
38,51.03970000000001,30.10207,2.224785566329956,56.457607,0.79044884,195.30897031026112,224,86
39,51.04601000000001,30.10075,2.224785566329956,53.283504,0.6637403000000001,170.4175002335059,197,79
40,51.046230000000016,31.091359999999998,1.5193850994110107,70.849396,0.7891368000000001,515.5265006752361,197,307
41,51.050440000000016,29.37108,1.4824339151382446,15.851020000000002,1.7409343999999998,-214.07238535366025,146,193
42,51.06359000000001,29.58092000000001,1.1444165706634521,22.61089,2.2335787,-189.52404383470693,189,244
43,51.07550000000001,30.704309999999996,2.6388044357299805,51.28159,0.627501,129.0760540491268,293,60
44,51.08218000000001,30.70161,2.6388044357299805,52.64757,0.4584281,138.01276281527808,313,61
45,51.09807000000002,30.876379999999997,2.8515548706054688,39.67677,1.9283152,48.829219636241895,74,48
46,51.10239000000001,29.82811,1.9010851383209229,72.161835,2.736049,387.6590373847241,347,141
47,51.10568000000001,30.87309,2.8515548706054688,42.201866,1.5336493,64.0053241560249,87,47
48,51.14155000000001,31.683359999999997,1.7148094177246094,27.209064,0.5804331,-47.92249586948777,75,140
49,51.16390000000001,31.70103,1.6292734146118164,29.675201,1.2092668,-22.1358333067055,86,155
50,51.16868000000001,31.47908,1.742984414100647,45.368946,1.3684016,148.94100286141818,203,105
51,51.16905000000001,30.109579999999998,2.0451316833496094,37.604088,1.9269009,52.88363060886276,86,71
52,51.17472000000002,28.742359999999998,1.7583539485931396,35.52494,1.507241,42.293296397973464,99,83
53,51.19258000000002,29.98867000000001,3.2515997886657715,36.406006,0.4922846,26.22324458845285,366,36
54,51.193730000000016,30.82878,3.58421277999878,51.536552,2.0400045,100.33817584292791,114,46
55,51.20127000000001,30.82824,3.58421277999878,52.368637,1.277525,104.51595087297234,117,43
56,51.229290000000006,28.7047,1.4872163534164429,-41.470215,0.22047675,-990.5592803047844,544,1672
57,51.24238,29.36937,1.4367358684539795,68.53305999999999,3.7138765,529.9509071804082,149,275
58,51.24895000000001,28.75337,1.438032865524292,43.315563,2.3454485000000003,168.32927308837583,175,154
59,51.25587000000001,32.17657,1.2655880451202393,19.691303,1.6841162,-208.7787250731103,188,758
60,51.29218000000001,31.47676,2.144716024398804,28.370295,0.026800664,-26.148590041121622,51,56
61,51.29868,28.734240000000003,1.4773342609405518,11.125509,2.0810559,-280.018905989102,177,113
62,51.300320000000006,28.987040000000004,2.077472448348999,43.826855,2.971824,105.0983393221855,392,78
63,51.31276,29.091959999999997,1.674418568611145,62.327133,2.7666042,351.44605087488065,779,131
64,51.31906000000002,29.8315,1.758995532989502,46.179394,2.973946,155.6402815454941,210,116
65,51.32284000000001,31.28663,2.440863609313965,27.203108,1.9176736,-30.796122789081146,57,59
66,51.39706,29.026320000000002,1.0894156694412231,24.602392,0.63623834,-162.35936699447942,161,175
67,51.42621000000001,30.10618,7.096508979797362,28.290134,1.0230142,-13.304602069379065,29,30
69,51.43404000000002,31.980859999999996,1.597557544708252,16.710455,2.68187,-180.28590541261693,124,448
70,51.46178000000001,29.145970000000002,0.9311642646789552,14.550175,0.74498224,-558.4387458575635,488,840
71,51.49614000000002,31.48528,2.758617877960205,23.760372,1.7891058000000002,-48.55562474310043,51,56
72,51.50229000000001,28.755129999999998,1.1641110181808472,25.997507,2.527556,-113.95827784612152,191,199
73,51.51826000000001,32.17038,1.7188221216201782,68.29209,1.5218248,404.02826710777464,2553,131
74,51.52349000000001,28.96841,1.3119453191757202,27.497583,2.3730621,-67.02325301521958,144,294
75,51.53274000000002,30.17479,4.2830071449279785,24.150707,1.2524246,-33.467529167483676,33,39
76,51.57442000000002,31.45662,2.709388256072998,32.20207,1.0470768,4.129964005828538,45,45
77,51.58042000000001,31.454909999999998,2.709388256072998,33.87937,0.7868045,14.79023472574426,44,44
78,51.58412000000001,29.08432,2.083102464675904,34.07297,1.9670372,21.507521954221367,109,69
79,51.58837000000001,29.082659999999997,2.083102464675904,37.52665,2.5987318,50.97540722272331,214,75
80,51.59432000000001,29.36332,1.6226264238357544,34.20536,1.3774347,31.48009779848824,120,89
81,51.63153000000001,28.77465,1.4126132726669312,30.23385,2.2898476000000003,-19.41679914718418,124,127
82,51.781270000000006,29.81535,3.035245180130005,15.281948000000002,1.536551,-92.86655543975115,49,101
83,51.795270000000016,29.022609999999997,1.7482078075408936,20.549303,0.1668932,-118.10519844757934,70,147
84,51.80401000000001,29.706490000000002,1.2776564359664917,41.139507,2.6001506,165.95392469661175,150,165
85,51.81703,29.90749000000001,3.9216930866241455,26.5859,0.77248985,-23.54054416899023,33,48
86,51.83461000000001,31.80377,2.091397762298584,35.610188,1.3858976,34.4460328567485,73,63
87,51.83515000000001,31.80848,2.091397762298584,37.34995,1.0409883,49.21412293104269,80,61
88,51.84136,31.804240000000004,2.091397762298584,33.099133,1.7370801,13.130768802523384,68,66
89,51.84522000000001,31.16793,2.87424635887146,51.124153,2.8528917000000003,117.95102802582701,176,54
90,51.87394000000001,30.24705,15.614900588989258,34.380287,0.42427173,11.09070299698411,26,26
91,51.91465000000001,31.40258,2.8716089725494385,29.342117,0.40980527,-13.331716233698078,39,41
92,51.92582000000001,30.19466,9.586883544921877,32.506440000000005,0.35178503,3.8568639748425495,26,26
93,51.93425000000001,30.94952,1.9695948362350464,50.748184,1.5402303999999998,176.2116214366255,154,98
94,51.93958000000002,29.066029999999998,2.543134450912476,7.3921800000000015,0.61656773,-162.96398238618602,46,1205
95,52.01503,30.97761,2.729243755340576,44.59000800000001,2.8490808,82.20291636431239,59,61
97,52.02843000000002,29.44414,1.1627353429794312,26.503754,0.11504466,-103.80529162445957,141,328
98,52.09405000000001,29.001659999999998,2.623230695724488,9.5767355,1.2445393,-144.70945715170348,49,148
99,52.09914000000002,29.005190000000002,2.623230695724488,4.446896,1.409529,-178.48960242579625,50,180
100,52.10475000000002,30.71353,2.8437857627868652,44.256733,1.9667774,76.58281046134725,59,53
101,52.11130000000002,29.018140000000002,2.623230695724488,5.0181336,2.4309118,-174.7279858851571,57,178
102,52.11468000000001,30.8918,3.806918621063232,58.283092,2.6672022,129.30326259087664,53,47
103,52.12113000000002,28.981509999999997,2.0997552871704097,37.412426,1.453107,49.488819114603636,75,65
104,52.12625000000001,30.8459,5.156177043914795,51.359005,0.28631422,83.98590153255911,45,29
105,52.13153000000001,30.84587,5.156177043914795,51.18486,0.24236684,83.24748024311802,44,29
106,52.13879000000002,30.8443,5.156177043914795,51.317165,0.29495022,83.80848876302676,45,29
107,52.15028000000001,29.36554000000001,2.3192174434661865,29.214005,0.03388425,-17.599121509044718,46,55
108,52.15879000000002,30.836,4.208803653717041,51.189194,0.062151324,89.70856595411252,41,31
109,52.16818000000001,30.83172,4.208803653717041,50.811924,0.038319428,87.9850614337032,41,31
110,52.17958000000001,31.65348,4.458932876586914,81.77724,2.3813837,223.78999141846302,282,46
111,52.21766,29.509259999999998,2.503032922744751,14.833607,2.765027,-114.90680417716337,63,94
112,52.23070000000001,29.52873,2.9006187915802,18.711405,0.8772673000000001,-76.68440139200342,42,141
113,52.29434000000002,31.53165,6.927295684814452,42.925426,1.1748345,46.44705941305993,31,30
114,52.29890000000002,31.00102,3.3742024898529053,53.184303,3.93981,113.0622101134827,60,54
115,52.33462000000002,31.11236,4.0688066482543945,45.12872700000001,1.5170709999999998,62.73619499567082,38,36
116,52.37863000000001,31.36905,4.973970890045166,72.88199,3.9685688,176.47616851451767,70,49
117,52.49627,30.6062,2.80450439453125,33.409813,2.3632126,11.36865565419729,52,52
118,52.49979000000002,30.6105,2.6438422203063965,35.0655,1.8375039,22.936744928685666,54,52
119,52.51526000000001,30.54888,3.737828254699707,21.14425,3.1336575,-50.54728520116432,45,70
120,52.51596000000002,30.55472,3.737828254699707,18.369112,3.6427302,-64.02495673888039,48,83
121,52.52029000000001,31.19632,2.9040842056274414,18.961977,3.659546100000002,-75.09853572885233,61,121
122,52.52152,30.551440000000003,3.737828254699707,30.616493,0.9859811,-4.544607179591893,34,35
123,52.52382000000001,30.603920000000002,2.3862595558166504,33.415092,2.0942867,13.550815891014278,64,60
124,52.53309000000001,30.548029999999997,3.7501380443573,34.6484,0.17040344,14.99733908653142,34,30
125,52.537940000000006,30.54715,3.7501380443573,34.9246,0.15143664,16.335217952727056,35,30
126,52.54026,31.4094,2.050169944763184,2.6460364,1.9854978,-251.78842481696955,108,82
127,52.57639000000001,30.92626,1.8935058116912842,-0.73266274,4.358555,-309.8921878120788,196,151
128,52.58012,31.77265,2.7736427783966064,6.861953,2.3480859,-152.9480965991902,75,240
129,52.60245000000001,31.7878,2.980852127075196,14.912435,0.87641144,-96.70402236596641,50,169
130,52.65380000000001,31.87367,2.556478500366211,-2.0923562,3.0799553,-225.54336531913586,90,471
131,52.66157000000001,31.51275,2.186198472976685,16.324728,2.888616,-122.10536683551895,79,83
132,52.67073000000002,30.19187,0.7857041358947754,29.723274,3.859053,-97.6088732230199,537,530
133,52.74033000000002,31.568009999999997,3.2389278411865234,33.8143,3.9287004,12.26379306945513,55,54
134,52.75047000000001,31.368129999999997,1.928282618522644,23.443678,3.5978568,-75.90989332962991,91,275
135,52.79483000000002,31.65152,3.6945583820343018,9.39862,3.233206,-108.59162329305263,47,77
136,52.79718000000001,32.05842,1.4910933971405032,24.229614,2.0291417000000003,-98.92683626451388,124,119
137,52.80512,31.9214,1.653225302696228,48.17495,0.62138414,193.37883441306718,81,104
138,52.82475000000001,30.79208,2.852445602416992,53.984215,1.0780324,134.77263321828758,130,62
139,52.82956000000001,30.79073,1.821968674659729,54.16967800000001,0.9420522,229.02316748205155,141,154
140,52.84279000000002,31.05725,1.9458383321762085,27.631788,2.3246377000000003,-36.569135724035064,80,151
141,52.88883000000001,31.852959999999996,1.639056921005249,53.922523,2.5482283,263.53694572100284,145,141
142,52.90963000000002,31.907290000000003,1.993356466293335,42.547523,1.7311772,99.3545963756246,126,75
143,52.91336,30.67597,2.1243054866790767,30.350515,1.0882623,-9.997719288910401,60,60
144,52.914350000000006,30.67189,2.1243054866790767,31.606945,1.0716676,0.454973931817727,59,59
145,52.91863000000002,30.67545,2.1243054866790767,30.563246000000003,0.94337994,-8.227933561461409,59,58
146,52.97608000000001,31.07814,2.19769549369812,0.9342431,2.9177618,-243.88035781415803,129,117
147,53.03296000000001,30.43473,1.7818940877914429,45.94278,4.122267,150.34457576503775,138,131
148,53.04498000000001,30.66222,2.2580280303955083,47.395042,2.952233,123.1410398080258,102,85
149,53.06639000000002,31.75768,1.784237027168274,52.043163,1.1607857,213.6814929173305,104,118
150,53.07485000000001,31.75597,1.6916640996932983,50.211605,0.33157548,209.95221543904358,159,121
151,53.105150000000016,31.086759999999998,3.457828998565674,48.734623,0.41696116,87.85259818554482,81,39
152,53.14973000000002,31.8378,1.7315526008605957,74.38410999999998,4.1611996,466.07403598887413,895,121
153,53.16704000000002,31.8621,1.4972474575042725,64.12156999999999,0.20203263,437.167710079311,792,159
154,53.16751000000001,31.853009999999998,1.4972474575042725,64.93348,0.26323026,448.0657240848303,812,162
155,53.16795000000001,31.833779999999997,1.6749823093414309,56.74048000000001,3.1260312000000003,287.5066583737997,480,117
156,53.17493000000002,30.33564,2.270000457763672,34.854336,0.30095518,25.50289727030286,50,50
157,53.17950000000001,31.84918,1.4972474575042725,70.254776,1.1324768,519.4918160599418,941,187
158,53.189960000000006,31.413079999999997,3.900543451309204,47.369877,3.8665183,75.25430212736386,55,49
159,53.22401000000001,31.720340000000004,2.1664698123931885,47.983276,0.42385936,133.29117865131758,170,61
160,53.25366000000001,31.338440000000002,5.3209757804870605,15.148098999999998,3.429978,-68.83515743172654,41,44
161,53.27499000000002,30.879070000000002,3.7426960468292236,44.63757,1.0897276000000002,63.48401434352939,67,37
162,53.28603000000001,30.84678,2.2195489406585693,66.94268000000001,3.2243433,278.36575936971445,114,153
163,53.32389000000001,30.7891,2.908586263656616,39.42310300000001,4.3150487,46.87558133145466,68,63
164,53.34784000000002,31.835990000000002,1.05868399143219,66.18866,2.4720726,858.1379846778772,1939,593
165,53.37714000000002,30.10605,1.306583285331726,37.9822,1.1632843000000002,107.04042304434496,427,126
166,53.37786000000001,31.29963,10.369733810424805,22.006262,1.1694895,-38.4373381254557,30,30
167,53.46216000000001,30.384009999999996,1.8878221511840816,32.582592,3.7406614,9.930935090524992,119,95
168,53.46505000000001,30.520220000000002,1.6913213729858398,50.11386,2.155746,208.91349938933982,274,108
169,53.47305000000002,31.22038,4.282991886138916,36.290054,3.5273595,21.422907893618127,48,44
170,53.48111000000002,29.800990000000002,0.9374179840087892,21.398558,2.0211868,-328.0774083037437,327,460
171,53.48962,30.3951,1.5256773233413696,36.429276,2.419212,63.570806482717636,347,112
172,53.50767000000001,31.31107,6.173189640045166,31.29005200000001,0.25153154,-1.07775960981579,26,26
173,53.52233000000002,30.50256,1.141294002532959,36.990555,1.6442108,115.88165684209207,184,173
174,53.54593000000001,30.385759999999998,1.5583436489105225,19.0372,3.0472047000000004,-157.8878382317385,120,857
175,53.54906,31.006859999999996,2.908069610595703,29.162504,0.8728564,-14.234921220512767,41,44
176,53.56592000000001,30.74725,1.3085126876831057,72.11828,2.2426598,673.5898767056585,2593,362
177,53.57104000000001,31.20293,4.085564613342285,28.040113,0.09712051,-16.1831388332879,28,30
178,53.57778000000002,30.85472,1.5833051204681396,22.634365,0.62179,-109.8097812494016,100,613
179,53.58024000000002,30.85073,1.5833051204681396,22.880836,0.5357390999999999,-106.77487924123757,99,596
180,53.668940000000006,30.61526,1.1944154500961304,55.568714,4.601957,469.50325462484847,388,358
181,53.703100000000006,31.11464,2.5425045490264893,45.471836,1.1811626,93.91745269382696,51,57
182,53.73774000000002,30.82371,2.125122547149658,52.903446,0.43273953,177.54035745836094,107,95
183,53.77211000000001,30.78523,2.043807983398437,29.932302000000004,0.5293465,-14.167823985043453,58,58
184,53.778650000000006,30.78497,2.043807983398437,26.94453,0.68316734,-40.298329356169134,61,61
187,53.80057000000001,30.78473,1.699633240699768,45.880867,0.5722316,160.13447594438566,75,106
188,53.86513000000002,30.398870000000002,0.8503050804138184,45.85872,0.95408154,597.6589299323197,626,562
189,53.87660000000001,30.54004,2.11026930809021,28.713114,0.06016684,-23.82239459529466,52,57
190,53.87653000000002,30.77832,2.2080066204071045,47.12593,0.20791309,123.31090798663817,176,67
191,53.87685000000001,30.62465,1.5525133609771729,28.64346,0.26122707,-36.90860357770932,81,81
192,53.88812,31.57524,1.6487064361572266,55.361645,1.5679618999999998,278.093373213064,138,135
193,53.89059000000002,31.57129,1.6487064361572266,53.307194,1.3736275,254.09741015457317,130,127
194,53.928700000000006,30.32017,1.7425466775894165,35.73296,1.8266584,45.0832367333911,303,86
195,54.20081999999999,29.97743,1.2098981142044067,28.247377,1.0582969,-63.08974778806543,139,244
196,54.31645000000002,31.24935,3.915883779525757,79.384865,0.60637075,226.95760661371227,68,45
197,54.34159000000001,30.012340000000002,0.6502394676208496,23.87312,0.35797223,-617.6783931248907,617,626
200,54.45766999999999,31.25416,2.422832727432251,92.02243,0.31316698,431.9778346244255,50,133
201,54.46612,30.93365,3.08431077003479,55.16720600000001,0.043544415,132.6491733450134,119,36
202,54.50125000000001,31.10292,2.4473440647125244,63.25374,0.5669225999999999,223.77091141162438,159,68
203,54.61360000000001,30.88435,2.3842902183532715,61.899967,1.3779473999999998,220.97581165298888,136,93
204,54.92383000000002,30.848159999999996,1.7142527103424072,68.98555,1.4296658000000002,413.228964271835,330,187
