ID#	Ra(deg)	Dec(deg)	Extinction	Magnetic_Field(uG)	TotalUpperBUncertainty	TotalLowerBUncertainty
0	49.849410000000006	31.02869	1.306603193283081	-66.08054611378489	103	217
2	50.012520000000016	31.126040000000003	1.2429472208023071	887.0865858142531	2247	357
3	50.08925000000001	31.64013	1.001220941543579	434.22949693470076	474	379
6	50.189230000000016	31.201759999999997	1.350156545639038	188.26176366374767	534	146
7	50.23199000000002	31.60075	1.5984244346618652	177.0273800144936	845	103
9	50.247140000000016	31.02774	1.889332056045532	88.99969002375698	271	75
10	50.24958000000001	30.848440000000004	1.0845348834991455	863.5892961792	1344	659
11	50.25013000000001	31.22124	2.025963544845581	52.24461409941758	179	62
12	50.30499000000001	30.99768	1.980569124221801	156.96269996136118	1109	65
13	50.37152000000002	30.951729999999998	1.0919462442398071	360.433772433526	592	316
14	50.44955000000001	31.89139	1.7840577363967896	165.92952216547008	664	65
15	50.45063000000001	31.24205	1.0106050968170166	532.3153427290869	279	516
16	50.55728000000001	31.20588	1.5162607431411743	199.35377190239865	243	125
18	50.61890000000001	29.695359999999997	0.9801870584487916	-734.5658742391843	693	699
19	50.64575000000001	28.97552	2.092642307281494	-100.05066986133045	57	184
20	50.6463	29.133609999999997	1.6540472507476809	504.7194000730727	2575	293
21	50.64872000000001	31.20035	2.165404796600342	45.84661933659938	373	44
22	50.68300000000001	29.56505	1.9403306245803835	-206.45494813209388	56	1407
23	50.74281000000001	31.06418	1.8399659395217896	323.38387822424716	351	150
24	50.78311000000001	29.19962	1.2038934230804443	-351.4324801422705	288	718
25	50.83320000000001	28.90758	1.6312596797943115	-262.6679493891998	118	1303
26	50.83547000000001	32.16422	1.6465412378311155	606.5537603468653	2021	234
27	50.85423000000002	30.01892	0.7643551826477051	-1427.0211757662155	1426	1481
28	50.86062000000001	29.047009999999997	1.7021610736846924	300.82049613839166	262	120
29	50.86195000000001	29.38008	2.31160569190979	-195.4199158116214	39	1749
30	50.87244000000001	29.28552	1.8004593849182131	-418.0822538306051	125	1478
31	50.896510000000006	28.945320000000002	1.610483169555664	-63.43454268096514	91	95
32	50.90513000000001	30.076490000000003	2.20246696472168	-64.6930295220031	51	539
33	50.90781000000001	29.576259999999998	1.6451449394226074	-266.17043934037537	164	210
34	50.938490000000016	31.74977	1.5310076475143433	-78.46521687304788	88	350
35	50.94280000000001	29.384209999999996	2.279424905776977	-172.7349719822659	55	1513
36	50.97348000000001	31.75484	1.5795271396636963	-200.97011022521409	113	936
37	50.977030000000006	28.903709999999997	1.9452135562896729	196.5188537533804	1346	69
38	51.03970000000001	30.10207	2.224785566329956	165.73137301547612	234	76
39	51.04601000000001	30.10075	2.224785566329956	138.6789773519813	197	67
40	51.046230000000016	31.091359999999998	1.5193850994110107	518.0471090489872	235	327
41	51.050440000000016	29.37108	1.4824339151382446	-338.927346155711	201	356
42	51.06359000000001	29.58092000000001	1.1444165706634521	-396.17921278496993	343	679
43	51.07550000000001	30.704309999999996	2.6388044357299805	98.26546863522393	297	48
44	51.08218000000001	30.70161	2.6388044357299805	107.67213644405348	325	49
45	51.09807000000002	30.876379999999997	2.8515548706054688	16.92028225623803	46	40
46	51.10239000000001	29.82811	1.9010851383209229	373.35049749826385	415	141
47	51.10568000000001	30.87309	2.8515548706054688	32.95408913936003	59	37
48	51.14155000000001	31.683359999999997	1.7148094177246094	-121.68905686693395	72	544
49	51.16390000000001	31.70103	1.6292734146118164	-99.29841721798492	83	497
50	51.16868000000001	31.47908	1.742984414100647	100.98324572060581	188	85
51	51.16905000000001	30.109579999999998	2.0451316833496094	5.6345008305349324	60	59
52	51.17472000000002	28.742359999999998	1.7583539485931396	-17.713644737218313	70	77
53	51.19258000000002	29.98867000000001	3.2515997886657715	-3.3744533354618964	27	53
54	51.193730000000016	30.82878	3.58421277999878	74.52481545308491	100	36
55	51.20127000000001	30.82824	3.58421277999878	78.7942253543712	104	33
56	51.229290000000006	28.7047	1.4872163534164429	-1249.5523227720066	737	3600
