ID#	Extinction_Index_x	Extinction_Index_y	Ra(deg)	Dec(deg)	Rotation_Measure(rad/m2)	RM_Err(rad/m2)	RA_inExtincFile(degree)	Dec_inExtincFile(degree)	Extinction_Value	Error_Range(pix)	Min_Extinction_Value	Min_Extinction_Ra	Min_Extinction_Dec	Max_Extinction_Value	Max_Extinction_RA	Max_Extinction_dec	Extinction_Observed
10	1132	222	48.136916666666664	26.245055555555556	-24.0	7.3	48.146103001558444	26.257163728347038	0.9853442907333374	1	0.6490446329116821	48.16697461109219	26.282950545213453	1.8040845394134521	48.15066960582768	26.234269708711988	True
11	1102	338	48.393125	29.03183333333333	-4.0	10.9	48.38789289106279	29.032069157644496	1.6590343713760376	1	1.068137526512146	48.366155609575216	29.00554656814635	1.8316411972045898	48.414311822429426	29.03522376347705	True
12	1091	394	48.42104166666667	30.383305555555555	11.5	12.4	48.41751564749037	30.381397202643935	2.187697649002075	1	0.8568956851959229	48.38587281231274	30.40164432304026	2.446072816848755	48.42225843246875	30.357848328030784	True
13	1090	394	48.436	30.378333333333334	4.8	7.6	48.44441270425948	30.384692986636786	1.3500492572784424	1	1.3336472511291504	48.412770067482434	30.404948430726552	2.446072816848755	48.42225843246875	30.357848328030784	True
14	1087	399	48.506625	30.514277777777778	10.9	7.1	48.50153681159325	30.51239973255378	1.5849263668060303	1	0.5337175130844116	48.47931670691841	30.48553038219913	2.573120355606079	48.53321897323704	30.492115401888746	True
15	1085	366	48.707458333333335	29.749666666666666	43.0	5.7	48.70953383740749	29.742073656093297	1.4684799909591675	1	1.3009246587753296	48.73165160544181	29.7687508175371	2.3211071491241455	48.740884262498625	29.721741145176516	True
16	1106	234	48.742875	26.613305555555556	1.1	5.7	48.756528720727104	26.606965000962422	1.2369136810302734	1	1.1316331624984741	48.72642090314456	26.62716214303644	1.4956557750701904	48.786627017784625	26.58676077912951	True
17	1061	456	48.938541666666666	31.94452777777778	40.7	10.1	48.94181826541162	31.948813622022566	1.6690962314605713	1	1.2402955293655396	48.974079530912356	31.928382301819738	1.7327669858932495	48.91424871333557	31.945452877876665	True
18	1059	462	48.966875	32.10413888888889	4.3	13.3	48.96885873874938	32.09829909282091	2.030613422393799	1	0.8644088506698608	48.991807432227375	32.125470661875994	2.1048033237457275	48.97355253259987	32.07449780394743	True
19	1055	461	49.076541666666664	32.078611111111115	14.0	11.3	49.0841149764524	32.08791225220236	1.6251760721206665	1	0.44382116198539734	49.116425685153985	32.06743608014644	2.399538278579712	49.07945223095977	32.111727064228006	True
20	1059	433	49.090125	31.410666666666664	17.3	12.0	49.103834908102485	31.408839499446845	1.1179172992706299	1	0.6468127965927124	49.13585406287517	31.38835893274032	1.1658340692520142	49.07642759764151	31.405566979969823	True
21	1084	276	49.15108333333333	27.650666666666666	-15.7	13.2	49.14106187116751	27.641238280046114	1.4511916637420654	1	1.0105235576629639	49.119351265179525	27.61513082234677	1.6042357683181763	49.16716654891791	27.644105780130975	True
22	1033	564	49.226333333333336	34.62075	19.3	1.8	49.21692958001068	34.62883326255751	1.6967194080352783	1	0.9667562246322632	49.240803823194746	34.656432011455195	1.6967194080352783	49.21692958001068	34.62883326255751	True
23	1067	335	49.341541666666664	29.078305555555556	9.1	11.5	49.329821470672535	29.069299928621984	1.4380509853363037	1	0.8191289901733398	49.35204765708768	29.09576441169971	1.905625820159912	49.29877609090645	29.089787547436178	True
24	1044	462	49.38325	32.154888888888884	2.7	13.9	49.38417442961292	32.14820819644126	1.8986841440200806	1	1.2542036771774292	49.40734726798975	32.175348804642255	1.8986841440200806	49.38417442961292	32.14820819644126	True
25	1030	502	49.579208333333334	33.149277777777776	55.2	12.3	49.59232032403679	33.15102097187816	0.8358896970748901	1	0.8358896970748901	49.59232032403679	33.15102097187816	0.9759584665298462	49.568749663377616	33.123715672142986	True
26	1061	307	49.6125	28.439944444444446	20.6	11.4	49.61102522176388	28.430376656202245	2.1037545204162598	1	1.3495562076568604	49.58886605991787	28.404098913856505	2.5670857429504395	49.63320253517629	28.456659274268418	True
